pct16,reg,ballots,turnout,prop67_yes,prop67_no
031-101,2026,691,68.21,223,422
031-102,2808,875,62.32,311,476
031-103,4534,1526,67.32,493,931
031-104,972,332,68.31,97,210
031-105,822,320,77.86,114,185
031-106,2086,785,75.26,215,537
031-107,1618,462,57.1,135,291
031-108,658,206,62.62,69,123
031-1101,632,223,70.57,77,132
031-1102,18,6,66.67,0,5
031-1103,266,111,83.46,23,81
031-1104,32,14,87.5,2,12
031-1105,866,228,52.66,106,99
031-1106,306,93,60.78,40,49
031-1107,130,52,80.0,6,44
031-1108,254,93,73.23,26,63
031-1201,4,0,0.0,0,0
031-1202,4,2,100.0,0,2
031-1203,0,0,0.0,0,0
031-1204,442,111,50.23,39,68
031-1205,10,3,60.0,1,2
031-1206,158,63,79.75,9,52
031-1207,358,72,40.22,23,44
031-1208,346,78,45.09,29,45
031-1209,398,132,66.33,42,85
031-1210,70,25,71.43,0,25
031-1211,14,7,100.0,2,5
031-1212,12,4,66.67,4,0
031-1213,420,157,74.76,52,93
031-1214,378,118,62.43,48,56
031-1215,294,89,60.54,29,49
031-1216,402,136,67.66,41,84
031-1217,196,74,75.51,21,49
031-1218,146,47,64.38,13,26
031-1219,194,45,46.39,19,24
031-1220,30,6,40.0,2,4
031-1221,6,3,100.0,2,1
031-1222,44,9,40.91,5,3
031-1223,6,1,33.33,0,1
031-1224,0,0,0.0,0,0
031-1225,104,33,63.46,6,25
031-1226,90,33,73.33,3,29
031-1227,14,4,57.14,2,2
031-1228,220,78,70.91,28,48
031-1229,8,4,100.0,0,4
031-1230,0,0,0.0,0,0
031-1231,430,126,58.6,46,77
031-1232,36,16,88.89,2,13
031-1233,0,0,0.0,0,0
031-1234,200,71,71.0,20,40
031-1235,54,22,81.48,3,15
031-1301,400,157,78.5,55,97
031-1302,636,274,86.16,87,173
031-1303,170,73,85.88,18,50
031-1304,10,3,60.0,0,3
031-1305,448,175,78.13,34,133
031-1306,448,186,83.04,45,127
031-1307,446,185,82.96,34,141
031-1308,556,233,83.81,72,154
031-1309,114,60,105.26,18,35
031-1310,64,27,84.38,5,21
031-1311,672,237,70.54,61,162
031-1312,486,161,66.26,53,101
031-1313,68,29,85.29,9,20
031-1314,10,4,80.0,2,2
031-1315,414,129,62.32,36,84
031-1316,76,21,55.26,9,12
031-1317,86,32,74.42,4,22
031-1318,498,183,73.49,45,126
031-1319,8,4,100.0,0,4
031-1320,48,22,91.67,6,16
031-1321,10,3,60.0,0,3
031-1322,146,62,84.93,14,42
031-1323,24,11,91.67,2,7
031-1324,132,48,72.73,7,34
031-1325,40,16,80.0,2,11
031-1326,318,77,48.43,24,44
031-1327,72,25,69.44,7,18
031-1401,54,18,66.67,6,13
031-1402,264,85,64.39,30,49
031-1403,364,103,56.59,33,66
031-1404,112,29,51.79,8,21
031-1405,114,32,56.14,10,22
031-1406,566,144,50.88,48,90
031-1407,502,130,51.79,38,72
031-1408,358,81,45.25,33,43
031-1409,608,192,63.16,57,126
031-1410,598,202,67.56,69,122
031-1411,370,104,56.22,28,71
031-1412,808,236,58.42,77,145
031-1413,678,197,58.11,67,113
031-1414,60,18,60.0,2,15
031-1415,398,111,55.78,38,68
031-1416,14,3,42.86,0,3
031-1417,14,3,42.86,0,3
031-1418,70,23,65.71,5,16
031-1419,440,149,67.73,30,112
031-1420,296,115,77.7,21,88
031-1421,24,11,91.67,3,8
031-1422,192,47,48.96,12,34
031-1423,64,15,46.88,4,9
031-1424,36,7,38.89,1,6
031-1425,12,5,83.33,0,5
031-1426,114,44,77.19,9,35
031-1427,216,78,72.22,8,65
031-1428,148,52,70.27,10,36
031-1429,110,40,72.73,13,26
031-1430,14,5,71.43,0,5
031-1431,44,13,59.09,1,11
031-1432,74,30,81.08,6,22
031-1433,38,17,89.47,4,13
031-1434,278,113,81.29,33,80
031-1435,122,56,91.8,19,33
031-1436,8,4,100.0,0,4
031-1501,46,22,95.65,3,17
031-1502,312,125,80.13,38,78
031-1503,768,252,65.63,87,153
031-1504,588,179,60.88,65,106
031-1505,430,121,56.28,51,64
031-1506,18,8,88.89,0,8
031-1507,598,142,47.49,60,71
031-1508,190,54,56.84,18,34
031-1509,360,76,42.22,28,43
031-1510,0,0,0.0,0,0
031-1511,512,205,80.08,55,144
031-1512,150,90,120.0,22,59
031-1513,548,213,77.74,58,140
031-1514,4,2,100.0,2,0
031-1515,632,145,45.89,54,84
031-1516,586,207,70.65,46,143
031-1517,628,189,60.19,64,118
031-1518,446,133,59.64,37,92
031-1519,24,8,66.67,1,7
031-1520,442,177,80.09,44,128
031-1521,254,110,86.61,27,78
031-1522,20,8,80.0,0,8
031-1523,82,33,80.49,8,25
031-1524,456,193,84.65,48,129
031-1525,278,114,82.01,22,87
031-1526,58,19,65.52,5,13
031-1527,34,16,94.12,7,9
031-1528,2,1,100.0,0,1
031-1529,30,7,46.67,2,5
031-1530,318,122,76.73,31,79
031-1531,2,0,0.0,0,0
031-1532,398,125,62.81,45,72
031-1533,58,14,48.28,7,6
031-1534,190,76,80.0,14,56
031-1535,284,79,55.63,29,48
031-1536,102,31,60.78,11,13
031-1537,420,170,80.95,41,116
031-1538,132,48,72.73,13,30
031-1539,254,101,79.53,14,81
031-1540,456,177,77.63,31,133
031-1541,90,29,64.44,6,21
031-1542,26,12,92.31,5,7
031-201,1496,399,53.34,134,230
031-202,1718,535,62.28,212,287
031-203,3500,980,56.0,411,506
031-204,2202,608,55.22,234,336
031-205,1632,425,52.09,183,219
031-301,2818,1087,77.15,351,666
031-302,2150,823,76.55,218,564
031-303,2392,836,69.9,271,512
031-304,1802,691,76.69,225,433
031-305,1002,377,75.25,119,239
031-306,1322,454,68.68,144,275
031-307,2842,922,64.88,325,526
031-308,1228,439,71.5,130,283
031-309,1478,591,79.97,137,414
031-401,2710,977,72.1,323,598
031-402,2520,899,71.35,306,548
031-403,1406,454,64.58,137,285
031-404,908,203,44.72,73,115
031-405,3486,969,55.6,361,558
031-406,1218,396,65.02,142,226
031-407,1610,513,63.73,141,327
031-501,1088,472,86.77,131,325
031-502,2124,837,78.81,241,545
031-503,3842,1474,76.73,447,937
031-504,2644,978,73.98,278,635
031-505,4212,1312,62.3,426,824
