pct16,total,voters,count,votes,prop56_yes,yespct,prop56_no,nopct
CP1,Total,910,2,636,248,38.99%,388,61.01%
MB2,Total,121,2,81,34,41.98%,47,58.02%
MB3,Total,272,2,210,73,34.76%,137,65.24%
CP4,Total,946,2,721,316,43.83%,405,56.17%
CP5,Total,405,2,320,131,40.94%,189,59.06%
CP9,Total,341,2,237,109,45.99%,128,54.01%
MB6,Total,168,2,126,51,40.48%,75,59.52%
MB42,Total,204,2,154,80,51.95%,74,48.05%
MB8,Total,198,2,154,71,46.10%,83,53.90%
MB10,Total,205,2,149,61,40.94%,88,59.06%
MB43,Total,167,2,117,35,29.91%,82,70.09%
MB44,Total,178,2,126,57,45.24%,69,54.76%
MB45,Total,170,2,114,48,42.11%,66,57.89%
MB46,Total,250,2,177,88,49.72%,89,50.28%
CP7,Total,311,2,216,106,49.07%,110,50.93%
MB47,Total,142,2,81,37,45.68%,44,54.32%
MB48,Total,82,2,64,30,46.88%,34,53.13%
MB49,Total,116,2,83,36,43.37%,47,56.63%
MB50,Total,209,2,139,70,50.36%,69,49.64%
MB22,Total,96,2,70,35,50.00%,35,50.00%
MB32,Total,108,2,86,41,47.67%,45,52.33%
CP11,Total,888,2,680,249,36.62%,431,63.38%
CP12,Total,1243,2,963,318,33.02%,645,66.98%
CP13,Total,848,2,630,220,34.92%,410,65.08%
MB52,Total,0,2,5,1,20.00%,4,80.00%
MB53,Total,0,2,11,8,72.73%,3,27.27%
MB24,Total,53,2,35,13,37.14%,22,62.86%
MB14,Total,199,2,146,60,41.10%,86,58.90%
MB15,Total,237,2,183,48,26.23%,135,73.77%
MB31,Total,7,2,2,1,50.00%,1,50.00%
CP16,Total,484,2,374,125,33.42%,249,66.58%
MB33,Total,69,2,57,29,50.88%,28,49.12%
MB17,Total,231,2,188,67,35.64%,121,64.36%
MB25,Total,54,2,42,14,33.33%,28,66.67%
MB26,Total,90,2,75,19,25.33%,56,74.67%
CP18,Total,986,2,746,359,48.12%,387,51.88%
MB51,Total,163,2,88,40,45.45%,48,54.55%
CP19,Total,646,2,472,234,49.58%,238,50.42%
MB27,Total,69,2,34,21,61.76%,13,38.24%
CP20,Total,481,2,381,111,29.13%,270,70.87%
MB39,Total,165,2,120,44,36.67%,76,63.33%
MB40,Total,113,2,77,21,27.27%,56,72.73%
CP21,Total,355,2,235,80,34.04%,155,65.96%
MB36,Total,159,2,94,32,34.04%,62,65.96%
MB37,Total,238,2,151,45,29.80%,106,70.20%
CP23,Total,479,2,367,102,27.79%,265,72.21%
MB38,Total,81,2,48,15,31.25%,33,68.75%
MB34,Total,53,2,35,13,37.14%,22,62.86%
MB28,Total,67,2,49,18,36.73%,31,63.27%
MB29,Total,30,2,22,3,13.64%,19,86.36%
MB35,Total,1,2,0,0,-,0,-
MB41,Total,162,2,133,48,36.09%,85,63.91%
MB30,Total,57,2,56,26,46.43%,30,53.57%
