0750006A,1388,1003,391,411
0750007A,1309,814,360,290
0750009A,1221,897,367,356
0750010A,1069,744,327,258
0750011A,1200,858,332,396
0750012A,603,360,188,110
0750013A*,149,61,29,21
0750014A,1070,693,326,276
0750016A,1206,789,339,357
0750019A,1193,835,364,337
0750021A,829,599,229,243
0750022A,1090,849,312,444
0750024A,1185,769,337,316
0750027A,893,598,273,183
0750028A,1231,860,364,382
0750029C,932,501,230,170
0750030A,751,542,206,260
0750031C,1032,648,315,198
0750032A,1011,745,347,295
0750033A,1317,939,363,452
0750034A,901,634,242,267
0750035A,1175,780,344,308
0750037A,1311,877,388,379
0750042A,1174,837,357,381
0750043A,1531,1201,466,525
0750044A,1011,748,325,287
0750051B,1502,789,382,283
0750054C,1202,796,408,254
0750055A,890,611,269,264
0750057A,1099,757,340,297
0750060A,1156,650,299,214
0750066A,1150,662,329,230
9990425A,0,2,0,2
9990429A,0,2,0,2
9990463A,0,4,3,0
0750006A,1388,1003,428,357
0750007A,1309,814,374,271
0750009A,1221,897,355,341
0750010A,1069,744,314,253
0750011A,1200,858,442,296
0750012A,603,360,179,142
0750013A*,149,61,18,34
0750014A,1070,693,292,322
0750016A,1206,789,372,332
0750019A,1193,835,388,313
0750021A,829,599,259,226
0750022A,1090,849,383,385
0750024A,1185,769,389,288
0750027A,893,598,259,238
0750028A,1231,860,405,356
0750029C,932,501,210,192
0750030A,751,542,260,220
0750031C,1032,648,252,233
0750032A,1011,745,362,290
0750033A,1317,939,408,421
0750034A,901,634,290,210
0750035A,1175,780,312,302
0750037A,1311,877,471,317
0750042A,1174,837,417,325
0750043A,1531,1201,538,422
0750044A,1011,748,342,303
0750051B,1502,789,332,303
0750054C,1202,796,375,317
0750055A,890,611,304,242
0750057A,1099,757,309,333
0750060A,1156,650,271,231
0750066A,1150,662,315,260
9990425A,0,2,0,2
9990429A,0,2,1,1
9990463A,0,4,2,2
