0900001A,700,544,285,160
0900002A,1272,935,492,240
0900003A,624,472,227,166
0900004A,764,571,262,187
0900005A,1108,898,424,362
0900006A,782,567,275,196
0900008A,1105,845,405,301
0900010A,931,638,322,198
0900016B,872,728,339,196
0900018A,647,529,263,119
0900020A,1277,884,502,216
0900023A,1345,1003,592,243
0900023B,1006,839,425,284
0900026A,1459,1111,619,301
0900030A,1064,836,476,246
0900033I,1098,860,502,265
0900036A,1228,884,457,250
0900037G,1241,972,564,252
0900041A,1381,1023,546,325
0900046A,1154,806,426,218
2400001A*,2,1,0,1
9001219C*,48,36,21,8
9990309A,0,10,5,3
