9000002A,901,738,490,174
9000003A,817,644,482,93
9000004A,1084,849,481,259
9000006A,1534,1134,793,240
9000008A,1433,832,510,184
9000009A,921,588,374,156
9000016A,782,621,333,206
9000017A,1262,965,499,349
9000019A,906,651,399,200
9000021A,1439,1002,500,361
9000023B,1552,1164,562,470
9000024A,1373,1141,532,502
9000025A,1520,1047,672,273
9000027A,1383,894,627,198
9000028A,1230,914,562,246
9000029A,1303,790,516,114
9000030A,1011,762,393,296
9000031A,999,762,405,266
9000032B,1555,1098,722,238
9000033A,900,728,368,281
9000034B,1090,847,481,279
9000038A,1058,701,496,115
9000039A,1462,1209,760,309
9000040A,836,701,478,150
9000042A,1670,1136,777,192
9000046A*,58,31,15,12
9000048A,882,566,417,93
9000049A,1256,801,625,90
9000052A,1100,619,472,91
9000053A,1146,707,531,113
9000055A,791,644,463,121
9000058A,1354,979,624,237
9000060A,1266,885,601,209
9000061A,1157,831,565,191
9000062A,1236,875,553,190
9000063B,1265,858,561,170
9000064A,1449,979,651,224
9000065A,1139,855,525,244
9000068A,1088,769,567,127
9000069A,948,657,482,111
9000070A,999,596,398,127
9000071A,1261,890,594,184
9000072A,1313,957,597,280
9000073A,1312,970,535,342
9000074A,947,699,423,204
9000077A,1427,1010,786,136
9000078A,1131,749,494,191
9000079C,1151,690,487,127
9000080A,1192,761,529,161
9000082A,1474,1064,635,310
9000083A,1555,1137,711,294
9000084A,1164,893,453,343
9000086A,1063,807,507,223
9000087A,808,533,294,171
9000088A,1307,804,584,127
9000089A,1287,846,578,186
9000090A,1291,848,580,174
9000092A,1321,923,526,295
9000093A,1141,703,501,135
9000094A,1157,685,521,113
9000095A,881,608,331,199
9000096B,1199,907,491,314
9000097C,1291,918,594,224
9000098A,1627,986,728,165
9000099B,1386,904,604,222
9000100B,1682,1147,704,292
9000101A,1337,896,574,227
9000102A,1228,851,557,163
9000104A,1169,938,471,364
9000107A,1174,762,492,193
9000110A,926,549,387,113
9000113A,706,500,315,106
9000115A,1281,770,534,158
9000116A,1527,911,681,136
9000118A,1437,1010,615,262
9000119A,1393,867,633,143
9000123A,998,684,482,120
9000125B,1608,990,774,99
9000126A,1566,930,702,143
9000127A,1390,914,638,183
9000128A,1052,707,478,166
9000129C,1618,1031,685,234
9000131A,1571,1062,714,237
9000132A,1407,1011,680,233
9000134A,869,544,365,99
9000135B,1487,888,611,170
9000136A,1442,919,605,205
9000137A,1667,1083,760,170
9000139B,1249,832,505,250
9000140A,1447,901,679,123
9000141A,1151,806,503,215
9000142A,1453,974,650,200
9000144A,1330,893,555,267
9000148A,1415,900,619,177
9000149A,847,569,404,110
9000151A,1374,921,627,185
9000153A,1404,982,675,213
9000154B,1344,1021,673,243
9000155A,1371,918,604,218
9000155B,1484,1058,699,257
9000157B,1211,723,505,134
9000158A,1297,909,522,290
9000160A,921,686,420,191
9000163A,1067,779,474,219
9000165A,1452,1022,777,138
9000167A,1333,913,582,241
9000172A,1085,789,537,159
9000174A,874,617,403,139
9000175A,1212,780,475,201
9000176A,1347,1051,598,313
9000177A,989,716,501,145
9000178A,1232,828,541,204
9000180A,1482,900,597,180
9000181A,1285,756,523,141
9000182A,1422,1010,669,214
9000184B,1278,825,553,183
9000185C,1762,1239,729,342
9000187A,1462,999,709,147
9000189C,1087,748,438,212
9000191A,1097,752,465,219
9000192A,1269,940,637,215
9000193A,1390,950,697,166
9000197B,1132,683,468,152
9000201B,1263,786,530,143
9000203A,1284,949,586,243
9000205A,1352,916,649,176
9000206A,1603,1066,735,228
9000207B,861,640,341,214
9000213B,958,661,377,208
9000214A,1584,1149,886,156
9000215B,1428,983,645,224
9000216A,944,714,494,122
9000222A,1405,974,604,284
9000223A,1105,993,596,308
9000225A,1089,745,491,153
9000228A,1355,1035,689,229
9000229A,1214,957,551,304
9000230A,1052,777,444,236
9000231A,1400,1066,723,219
9000232A,1507,849,607,177
9000234A,1234,905,505,304
9000236B,1312,958,575,276
9000239A,431,287,232,27
9000240A,1567,1101,826,117
9000243A,1250,815,604,137
9000244A,1272,752,551,94
9000246A,1495,1093,678,270
9000248A,1288,844,692,87
9000249A,848,581,450,86
9000250B,1427,952,604,192
9000251A,886,728,460,191
9000252A,1438,1103,782,206
9000254A,1184,888,555,242
9000255A,1301,907,613,194
9000257B,1274,919,630,205
9000259A,1420,1063,684,258
9000260A,962,793,524,177
9000262A,1111,882,688,101
9000263A,827,696,542,93
9000264A,443,426,278,92
9000267A,1257,983,625,245
9000268A,1476,1128,788,198
9000269B,1398,1109,712,265
9000270A,1186,865,453,319
9000272A,740,642,430,127
9000273B,868,496,385,69
9000275B,900,674,498,114
9000277A,968,682,478,150
9000280A,978,600,443,99
9000282A,1183,543,433,59
9000283A,1090,740,533,122
9000284C,990,712,514,137
9000285A,1320,844,608,149
9000286A,1405,1049,800,137
9000288A,1323,891,661,133
9000289A,1493,727,532,105
9000290A,1192,631,478,93
9000292A,1355,1030,412,518
9000293A,878,440,334,50
9000294A,894,431,320,56
9000296C,1340,719,525,121
9000300A,1228,828,579,152
9000301A,1409,934,655,206
9000303A,1299,968,650,207
9000305A,1069,761,430,274
9000307A,1253,969,696,164
9000308B,1270,883,519,267
9000311A,1390,953,721,119
9000312A,941,704,407,234
9000313B,1007,622,447,110
9000314A,1456,838,604,130
9000315C,1040,812,417,330
9000316A,1026,729,418,229
9000317A,1550,850,637,107
9000318B,1316,898,552,253
9000319A,1326,893,614,182
9000321A,1281,702,507,135
9000323A,1322,895,634,182
9000324A,1141,740,520,121
9000325A,987,718,412,239
9000326A,1155,933,738,95
9000327A,1459,983,699,167
9000330A,1087,779,523,182
9000331A,1232,800,512,203
9000333A,988,700,390,231
9000334A,967,690,421,197
9000335A,1089,744,537,121
9000336A,1029,678,489,120
9000341A,1866,1193,684,379
9000343A,700,559,328,158
9000344A,983,679,451,172
9000345A,1203,881,470,299
9000346B,1587,1065,662,280
9000347A,1327,917,655,173
9000348C,1135,859,617,162
9000350A,1195,871,440,306
9000352A,1285,914,517,281
9000354A,1285,643,497,89
9000356A,1267,917,516,299
9000357A,1247,897,647,171
9000358A,1294,909,530,280
9000359B,1355,862,571,184
9000361A,1038,635,474,78
9000362A,1344,1006,594,317
9000363A,895,638,374,206
9000364A,909,699,389,230
9000365A,974,694,392,233
9000366A,1289,802,595,110
9000368C,975,712,563,87
9000369A,1357,1059,772,186
9000371A,1209,766,622,87
9000377B,912,644,431,138
9000378A,897,650,418,169
9000379A,1210,865,531,233
9000381A,852,622,405,147
9000382A,1445,950,673,178
9000383B,1390,957,593,273
9000385A,1704,982,663,167
9000386B,1163,719,515,107
9000388A,785,536,270,203
9000389B,1130,724,556,87
9000390A,1376,890,612,180
9000391A,1360,829,604,143
9000392A,1563,969,760,114
9000393A,1934,1158,802,237
9000395B,1459,788,596,102
9000396A,1310,808,533,189
9000398A,919,668,406,191
9000399A,1554,1115,767,243
9000400A,1303,808,601,114
9000401A,821,627,334,217
9000402A,1564,1171,842,198
9000404A,980,638,454,136
9000405A,904,563,420,74
9000406A,1010,592,456,59
9000406B,1252,610,472,72
9000408A,1202,689,477,126
9000410A,798,665,449,120
9000411B,734,539,307,159
9000414A,1605,999,706,190
9000414B,1374,913,552,258
9000415A,1381,673,481,102
9000416A,1090,706,394,211
9000417A,1145,830,513,229
9000419A,1649,1154,739,284
9000420A*,131,77,35,24
9000422A,1338,1013,706,195
9000423B,1356,930,581,231
9000425A,1511,1112,664,338
9000427A,1522,820,552,150
9000428A,1006,830,531,210
9000436A,1207,890,565,230
9000437A,1364,1036,762,180
9000438A,1317,972,724,180
9000442A,943,635,458,115
9000443A,881,597,429,120
9000444A,925,691,495,146
9000447A*,53,22,16,1
9000448A,1132,788,387,294
9000449A,1137,922,584,244
9000451A,1196,761,567,111
9000452B,1181,902,485,333
9000454A,1373,796,616,109
9000455A,776,443,328,46
9000457A,1072,728,479,152
9000458A,1036,745,587,79
9000460A,1236,804,539,185
9000461A,1491,896,555,226
9000463A,892,546,350,136
9000464B,1330,775,545,107
9000465A,1327,815,554,202
9000466A,1458,1079,840,164
9000467C,1295,767,545,160
9000469A,1374,770,575,142
9000472A,1480,1055,689,250
9000474A,1436,971,642,230
9000477A,1148,771,577,114
9000481A,1388,851,591,109
9000483A,1466,899,643,159
9000490A,1381,920,632,150
9000491A,1341,824,614,131
9000492C,1254,1001,601,271
9000493A,2003,1247,1032,131
9000494A,1476,932,676,148
9000495A,1312,765,570,95
9000496A,985,528,335,129
9000497A,1382,817,501,212
9000498A,1199,761,465,181
9000500A,1328,835,503,222
9000503A,1383,774,575,130
9000505A,849,660,524,89
9000506A,1556,969,677,187
9000508A,1066,718,456,175
9000509A,1130,670,436,150
9000510A,1049,654,459,117
9000510C,1216,741,483,180
9000511A,1114,812,582,141
9000512A,1336,884,589,201
9000513A,1346,901,665,146
9000515A,1342,930,739,123
9000517A,1156,742,567,90
9000518A,1158,675,501,97
9000519B,1245,687,521,100
9000522A,1264,830,638,128
9000523A,1177,865,574,184
9000524A,1195,800,596,114
9000525A,1044,701,477,143
9000529A,1153,726,473,179
9000530A,1296,916,651,160
9000531A,1506,994,679,209
9000533A,1240,652,493,85
9000534A,1373,884,609,190
9000536A,1315,843,602,166
9000537A,1442,842,640,115
9000543A,1457,1007,724,174
9000544A,1378,959,743,99
9000545A,1314,713,526,100
9000546A,1199,730,507,58
9000549A,1667,997,661,189
9000551A,1074,709,433,65
9000552A,1309,1014,690,179
9000553D,1460,870,622,137
9000554A,500,225,155,24
9000555A,945,593,431,47
9000556A,1339,860,625,147
9000557A,1279,859,565,170
9000558B,1368,993,666,183
9000559A,1194,823,540,177
9000561A,1122,895,544,254
9000562A,1459,882,628,152
9000563A,1469,921,632,190
9000567A,1321,1023,702,215
9000568A,1249,760,485,158
9000571A,1509,923,554,252
9000572A,1411,1017,666,214
9000574A,1036,684,472,144
9000575A,1608,682,462,148
9000578A,1467,957,681,172
9000580A,1388,841,636,127
9000581A,1462,1001,700,191
9000582A,1200,804,574,162
9000585A,849,494,348,94
9000589A,1247,931,639,222
9000591A,1211,943,766,91
9000592A,1125,695,460,132
9000593A,1329,883,684,143
9000595A,1342,947,678,184
9000596A,1399,1041,660,253
9000597A,1379,987,740,166
9000598A,1269,722,561,103
9000600A,1281,979,735,161
9000601A,1660,1089,772,127
9000602B,1292,814,636,90
9000603A,962,647,507,89
9000605A,1391,885,680,129
9000606A,1158,838,577,152
9000607C,1418,1080,751,204
9000608A,1396,896,694,112
9000610A,816,556,430,67
9000611B,992,698,434,179
9000612A,1209,894,454,345
9000613B,1508,1040,723,208
9000616A,1411,975,690,172
9000618A,764,623,492,65
9000622A*,36,17,11,4
9000624A,1172,927,469,346
9000624B*,18,6,1,5
9000625A,1498,1283,876,247
9000632A,1186,746,402,266
9000633A,642,438,196,203
9000634A,1116,771,365,302
9000636A,1075,660,342,240
9000637A,1114,749,376,287
9000639A,1079,748,361,302
9000640A,878,658,325,265
9000641D,1360,923,461,339
9000642C,829,537,445,52
9000645A,892,572,307,192
9000646A,1344,939,477,345
9000650C,1462,875,625,135
9000654A,720,524,275,192
9000655A,1520,876,511,225
9000658A,1076,790,642,73
9000664B,1366,905,694,95
9000668B,879,608,428,104
9000672A,1197,823,417,285
9000679A,1295,970,746,147
9000679C,1296,946,722,134
9000684A,798,637,449,112
9000687A,1104,809,636,100
9000689A,1403,984,599,249
9000690B,806,622,447,119
9000692A,972,744,506,138
9000694A,1525,1167,931,130
9000697A,1082,882,634,172
9000699C,1417,1106,845,150
9000700A,667,546,328,138
9000700B,1150,897,705,123
9000701A,1990,1590,1212,122
9000709A,1005,545,416,66
9000711A,1669,1069,736,217
9000712A,1127,927,683,158
9000715A,805,603,476,70
9000718A,1442,922,740,90
9000720C,1271,665,482,113
9000724A,1462,873,605,71
9000725D,1323,894,702,102
9000727A,1421,947,650,191
9000731A,1490,950,695,129
9000732A,1194,799,539,163
9000734A,1319,941,720,75
9000737B,1131,794,523,196
9000742A,1349,1065,703,230
9000745B,1599,1196,851,204
9000750A,1363,828,587,104
9000751B,1616,1011,696,209
9000752A,1175,933,719,119
9000755A,1145,764,465,204
9000756A,1211,961,668,177
9000758A,1261,909,640,175
9000760A,1233,893,592,226
9000766A,1134,857,563,222
9000773B,1574,1083,808,171
9000774B,1260,873,613,186
9000777B,1154,920,554,260
9000779A,1181,909,646,170
9000780C,1526,1054,715,216
9000782A,950,626,457,79
9000784A,1100,793,486,210
9000785A,1036,768,563,130
9000788A,1375,1000,714,191
9000795A,1244,833,651,109
9000796B,1546,1024,773,153
9000799A,1117,910,617,185
9000800A,1209,944,646,195
9000801C,907,648,407,133
9000803B,1125,845,564,209
9000804A,1419,912,636,160
9000805A,1315,1300,904,244
9000815A,1013,740,549,105
9000816A,1391,916,661,166
9000817A,1330,990,658,213
9000819A,1274,931,680,164
9000821A,698,528,392,76
9000824A,866,527,406,63
9000826A,1204,982,783,132
9000829A,1198,844,626,134
9000833B,1207,788,623,91
9000834A,1368,705,523,122
9000835B,1345,1075,819,165
9000837B,1260,810,563,179
9000838B,1039,739,556,114
9000841A,571,420,299,79
9000843A,1241,923,618,215
9000843B,1037,707,520,132
9000844A,1571,1028,780,99
9000851A,1265,904,714,109
9000852A,1181,911,727,108
9000855B,1260,1002,807,124
9000856A,1255,853,621,154
9000866A,1660,1358,1101,177
9000872A,1003,696,487,135
9000874A,1250,906,715,93
9000879A,1115,909,715,126
9000882A,1361,1008,698,217
9000884B,1500,935,620,190
9000885A,1155,880,622,177
9000887A,673,521,395,90
9000888A,670,421,332,34
9000894A,1563,984,768,93
9000898A,1246,940,633,191
9000900A,906,564,426,80
9000900D,1253,824,589,153
9000904A,1077,741,537,137
9000906A,1245,697,505,132
9000907A,1224,852,544,204
9000908A,1129,644,481,95
9000915A,1208,832,622,124
9000916A,1290,827,578,162
9000918A,855,573,419,96
9000919A,1032,690,469,141
9000920A,1185,865,501,251
9000922B,1314,842,637,158
9000923A,1161,734,518,110
9000927A,1263,783,537,155
9000929A,1465,918,712,122
9000940B,1234,884,721,101
9000941A,1113,823,663,88
9000944A,1408,1063,779,172
9000945B,1218,718,570,91
9000946A,1295,911,629,200
9000947A,1507,1121,942,98
9000948A,1158,859,655,134
9000951A,1438,1068,677,272
9000953A,1030,663,424,164
9000956A,933,664,433,164
9000957C,1598,850,600,89
9000964A,1458,1016,807,92
9000965A,1424,982,763,119
9000966B,1464,877,718,75
9000968A,1749,1087,757,122
9000969A,1279,909,715,121
9000970C,1361,941,752,100
9000985A,1293,666,490,112
9000988C,1384,948,649,200
9000989A,1260,716,483,117
9000990A,1423,1005,710,175
9000994A,1179,746,480,189
9000995A,1236,690,483,128
9000998A,1238,772,539,153
9000999A,1621,1002,774,119
9001000A,869,492,369,66
9001000C,760,422,314,71
9001001A,1755,936,643,195
9001002B,1282,953,632,210
9001003A,1296,695,516,107
9001006A,1279,887,518,298
9001008A,1462,949,733,116
9001009A,731,521,355,91
9001014A,953,563,436,64
9001015D,1297,950,665,162
9001016A,1332,962,681,180
9001019A,792,561,362,120
9001021A,1379,1045,575,316
9001023A,1546,916,678,134
9001024A,1072,657,506,84
9001026C,1404,769,584,93
9001027A,568,456,252,150
9001030A,1231,703,528,119
9001031A,1337,702,503,129
9001036A,1334,1043,600,334
9001037A,1410,1115,610,376
9001039A,1491,1108,665,356
9001041A,658,543,347,132
9001042A,1100,569,431,78
9001044A,1178,915,550,242
9001046A,1306,637,490,76
9001047B,1288,793,572,114
9001049A,904,618,342,181
9001050A,1331,882,611,166
9001052C,1313,1062,767,200
9001053A,828,170,122,18
9001055A,1129,623,470,101
9001060A,877,726,470,178
9001062A,1325,652,488,97
9001063A,1376,984,678,206
9001064A,1270,840,601,139
9001065A,1001,682,466,160
9001070A,836,636,383,166
9001073B,1373,1085,641,321
9001074A,1354,1075,673,298
9001077A,1381,856,618,152
9001078A,1060,343,266,37
9001080A,1285,1059,680,244
9001081A,1271,804,622,101
9001083A,944,784,548,147
9001084C,1282,994,635,215
9001085B,1189,874,617,156
9001090A,1229,920,624,200
9001091B,1135,912,555,251
9001092A,1307,985,691,180
9001095C,1380,1006,699,194
9001097A,2101,1376,1028,167
9001098B,577,379,289,35
9001099A,609,484,297,136
9001100A,758,566,344,158
9001103A,1125,940,616,208
9001104A,1417,928,739,128
9001109A,1507,1201,827,250
9001111A,1370,1057,821,110
9001113A,1156,916,621,175
9001120A,1550,1167,863,173
9001122A,901,736,481,168
9001126A,1683,1304,943,203
9001127A,1524,1281,842,305
9001128A,1652,1106,868,111
9001129B,1498,846,639,146
9001130B,786,461,322,78
9001133A,844,708,499,129
9001133D*,400,294,197,71
9001138A,1472,653,467,73
9001147A,1049,560,431,56
9001152A,1583,1213,872,191
9001157A,1092,903,592,197
9001158A,1425,1114,768,204
9001159A,1447,707,561,85
9001164A,989,830,574,178
9001165A,1099,885,602,180
9001167A,1295,931,700,136
9001173A,1416,1081,754,205
9001174A,743,604,405,134
9001175A,1401,1050,704,246
9001176B,493,400,292,77
9001177D,695,555,371,123
9001178A,1112,848,626,134
9001180A,953,756,518,151
9001180H*,76,43,34,3
9001183A,1204,729,574,101
9001184A,1086,838,581,181
9001187A,1399,1043,640,287
9001188A,1171,543,432,61
9001189B,1038,588,449,81
9001190D,1348,927,616,193
9001191A,1053,867,657,127
9001195A,1118,837,641,105
9001196A,1436,999,795,124
9001200A,744,585,440,99
9001203A,1317,1013,734,166
9001207A,1108,893,631,178
9001210A,1245,932,654,146
9001212A,1135,871,634,143
9001218A,979,748,452,180
9001219A,739,536,322,142
9001219C*,48,36,21,8
9001220C,1152,915,660,148
9001224C,844,643,450,108
9001224G*,15,11,7,3
9001226A,1086,842,594,150
9001231A,966,750,490,164
9001232A,1577,1068,776,150
9001233A,1216,1056,796,147
9001243A,863,638,450,121
9001244A,815,607,453,87
9001246A,1217,673,512,98
9001249A,1040,780,527,154
9001250A,1330,994,719,158
9001253A,1282,969,700,167
9001256A,1686,1270,831,275
9001257B,1276,1035,702,194
9001262A,1236,922,575,188
9001267A,983,704,569,67
9001271A,1289,876,627,142
9001272A,1461,1117,757,215
