1450305B,340,264,149,24
3990001A,1046,843,614,131
3990002A,880,591,365,155
3990003A,1029,637,475,108
3990004A,784,557,390,109
3990005A,1031,688,483,111
3990006A,1376,1005,677,232
3990007A,1044,687,480,135
3990009A,1203,849,645,141
3990010A,1141,751,522,163
3990015A,1233,781,611,110
3990016A,1269,925,637,206
3990017A,1179,657,480,107
3990018A,919,713,515,126
3990019A,1264,914,628,209
3990028B,1147,786,567,129
3990030A,1197,642,483,94
3990033A,983,710,491,134
3990061A,1115,683,482,121
3990062A,1144,822,617,105
3990063A,1152,719,494,150
3990064A,1236,783,563,130
3990065B,1074,736,548,117
6550055B*,258,127,96,20
9990522A,0,5,3,2
