pct16,total,voters,count,votes,prop66_yes,yespct,prop66_no,nopct
100001,Total,500,342,305,145,47.54%,160,52.46%
100002,Total,749,560,509,244,47.94%,265,52.06%
100003,Total,769,579,520,243,46.73%,277,53.27%
100004,Total,753,559,497,223,44.87%,274,55.13%
100005,Total,333,281,247,111,44.94%,136,55.06%
100006,Total,561,441,413,157,38.01%,256,61.99%
100007,Total,360,268,236,125,52.97%,111,47.03%
100008,Total,804,529,476,189,39.71%,287,60.29%
100009,Total,713,553,494,241,48.79%,253,51.21%
100500,Total,375,262,237,117,49.37%,120,50.63%
200001,Total,383,277,241,127,52.70%,114,47.30%
200003,Total,994,746,650,285,43.85%,365,56.15%
200004,Total,899,632,544,221,40.63%,323,59.38%
300001,Total,872,636,571,255,44.66%,316,55.34%
300002,Total,925,665,598,260,43.48%,338,56.52%
300003,Total,734,478,418,186,44.50%,232,55.50%
300004,Total,586,425,369,158,42.82%,211,57.18%
300005,Total,652,474,417,194,46.52%,223,53.48%
300006,Total,792,562,504,214,42.46%,290,57.54%
300007,Total,881,549,489,205,41.92%,284,58.08%
300008,Total,931,628,558,205,36.74%,353,63.26%
400001,Total,790,611,548,227,41.42%,321,58.58%
400002,Total,426,353,305,105,34.43%,200,65.57%
400003,Total,313,232,198,73,36.87%,125,63.13%
400004,Total,1020,736,637,269,42.23%,368,57.77%
400005,Total,989,769,685,249,36.35%,436,63.65%
400006,Total,425,364,334,95,28.44%,239,71.56%
400007,Total,301,247,218,61,27.98%,157,72.02%
500001,Total,250,203,179,66,36.87%,113,63.13%
500002,Total,510,429,383,87,22.72%,296,77.28%
500003,Total,313,267,231,69,29.87%,162,70.13%
500004,Total,721,575,509,132,25.93%,377,74.07%
500005,Total,1019,791,683,226,33.09%,457,66.91%
500006,Total,340,238,208,86,41.35%,122,58.65%
500007,Total,734,604,538,173,32.16%,365,67.84%
500008,Total,483,367,336,136,40.48%,200,59.52%
500009,Total,280,224,197,94,47.72%,103,52.28%
999102,Total,130,102,91,35,38.46%,56,61.54%
999103,Total,188,161,146,60,41.10%,86,58.90%
999104,Total,174,131,108,48,44.44%,60,55.56%
999105,Total,155,109,97,42,43.30%,55,56.70%
999106,Total,131,103,87,28,32.18%,59,67.82%
999107,Total,17,10,8,7,87.50%,1,12.50%
999108,Total,222,148,128,60,46.88%,68,53.13%
999109,Total,23,15,11,3,27.27%,8,72.73%
999110,Total,168,131,119,51,42.86%,68,57.14%
999111,Total,177,139,119,44,36.97%,75,63.03%
999112,Total,174,137,118,52,44.07%,66,55.93%
999113,Total,260,179,153,78,50.98%,75,49.02%
999114,Total,39,25,22,10,45.45%,12,54.55%
999115,Total,88,64,54,22,40.74%,32,59.26%
999116,Total,198,118,103,55,53.40%,48,46.60%
999117,Total,103,91,81,27,33.33%,54,66.67%
999118,Total,13,12,12,6,50.00%,6,50.00%
999119,Total,7,7,6,0,0.00%,6,100.00%
999120,Total,206,156,144,76,52.78%,68,47.22%
999121,Total,69,43,38,21,55.26%,17,44.74%
999122,Total,5,4,3,2,66.67%,1,33.33%
999124,Total,178,152,140,66,47.14%,74,52.86%
999125,Total,35,30,25,7,28.00%,18,72.00%
999126,Total,179,100,90,32,35.56%,58,64.44%
999127,Total,57,68,64,36,56.25%,28,43.75%
999128,Total,166,121,102,51,50.00%,51,50.00%
999129,Total,13,6,6,3,50.00%,3,50.00%
999130,Total,0,0,0,0,-,0,-
999131,Total,35,27,25,13,52.00%,12,48.00%
999132,Total,0,0,0,0,-,0,-
999133,Total,2,2,1,1,100.00%,0,0.00%
999134,Total,162,106,98,50,51.02%,48,48.98%
999135,Total,15,13,12,3,25.00%,9,75.00%
999136,Total,0,0,0,0,-,0,-
999137,Total,8,4,4,3,75.00%,1,25.00%
999138,Total,4,4,4,2,50.00%,2,50.00%
999139,Total,0,0,0,0,-,0,-
999140,Total,86,72,63,32,50.79%,31,49.21%
999141,Total,245,184,159,65,40.88%,94,59.12%
999142,Total,0,0,0,0,-,0,-
999143,Total,0,0,0,0,-,0,-
999144,Total,10,7,6,3,50.00%,3,50.00%
999145,Total,0,0,0,0,-,0,-
999146,Total,0,0,0,0,-,0,-
999147,Total,2,2,2,1,50.00%,1,50.00%
999148,Total,215,190,175,85,48.57%,90,51.43%
999149,Total,0,0,0,0,-,0,-
999150,Total,139,109,98,59,60.20%,39,39.80%
999151,Total,11,5,5,3,60.00%,2,40.00%
999201,Total,4,1,1,0,0.00%,1,100.00%
999202,Total,258,228,207,81,39.13%,126,60.87%
999203,Total,215,177,153,59,38.56%,94,61.44%
999204,Total,246,182,153,81,52.94%,72,47.06%
999205,Total,470,349,300,132,44.00%,168,56.00%
999206,Total,245,151,134,72,53.73%,62,46.27%
999207,Total,194,134,123,57,46.34%,66,53.66%
999208,Total,273,165,134,68,50.75%,66,49.25%
999209,Total,124,89,80,41,51.25%,39,48.75%
999210,Total,0,0,0,0,-,0,-
999211,Total,206,148,129,71,55.04%,58,44.96%
999212,Total,167,122,108,52,48.15%,56,51.85%
999213,Total,242,184,165,70,42.42%,95,57.58%
999214,Total,176,146,128,45,35.16%,83,64.84%
999215,Total,217,186,161,61,37.89%,100,62.11%
999216,Total,466,389,357,135,37.82%,222,62.18%
999217,Total,91,74,70,29,41.43%,41,58.57%
999218,Total,239,187,158,63,39.87%,95,60.13%
999219,Total,243,157,143,64,44.76%,79,55.24%
999220,Total,202,167,149,45,30.20%,104,69.80%
999221,Total,0,0,0,0,-,0,-
999222,Total,181,148,126,47,37.30%,79,62.70%
999223,Total,235,192,163,48,29.45%,115,70.55%
999224,Total,0,0,0,0,-,0,-
999225,Total,82,50,48,25,52.08%,23,47.92%
999226,Total,141,98,84,47,55.95%,37,44.05%
999227,Total,151,116,107,59,55.14%,48,44.86%
999228,Total,139,104,99,38,38.38%,61,61.62%
999229,Total,254,185,164,74,45.12%,90,54.88%
999230,Total,160,109,101,47,46.53%,54,53.47%
999231,Total,304,247,222,121,54.50%,101,45.50%
999232,Total,239,176,159,72,45.28%,87,54.72%
999233,Total,162,145,133,66,49.62%,67,50.38%
999234,Total,208,120,104,39,37.50%,65,62.50%
999235,Total,1,1,1,1,100.00%,0,0.00%
999236,Total,7,3,2,2,100.00%,0,0.00%
