pct16,reg,ballots,turnout,pres_stein,pres_clinton,pres_lariva,pres_trump,pres_johnson,ussen_sanchez,ussen_harris
065-1001,1305,258,19.77,0,237,1,10,2,155,87
065-1001,1305,485,37.16,6,423,2,35,7,286,179
065-1002,1533,257,16.76,4,211,2,25,4,153,85
065-1002,1533,649,42.34,11,543,6,68,10,323,299
065-1003,966,154,15.94,5,130,0,14,2,86,58
065-1003,966,458,47.41,14,406,0,27,4,269,174
065-1004,767,144,18.77,1,121,1,9,3,82,52
065-1004,767,303,39.50,6,248,2,25,12,132,156
065-1005,836,132,15.79,1,109,2,14,0,74,54
065-1005,836,355,42.46,7,290,3,41,2,192,149
065-1006,1568,176,11.22,2,153,0,12,4,99,62
065-1006,1568,660,42.09,15,589,3,29,6,393,250
065-1007,1058,177,16.73,6,131,2,27,2,60,104
065-1007,1058,482,45.56,14,354,4,86,12,174,258
065-1008,1305,216,16.55,3,169,4,31,5,100,100
065-1008,1305,567,43.45,15,410,2,104,19,208,332
065-1009,2197,436,19.85,8,317,8,89,4,188,201
065-1009,2197,986,44.88,24,681,9,225,21,385,539
065-1010,970,173,17.84,1,132,1,33,5,80,84
065-1010,970,454,46.80,18,344,2,65,5,187,235
065-1011,1589,232,14.60,11,183,2,20,9,125,97
065-1011,1589,788,49.59,14,640,7,96,14,386,358
065-1012,1399,242,17.30,4,216,0,16,3,156,78
065-1012,1399,588,42.03,9,456,5,96,8,290,256
065-1013,1778,371,20.87,3,255,3,80,10,152,170
065-1013,1778,828,46.57,18,578,1,200,13,296,476
065-1014,1503,258,17.17,5,187,5,43,11,109,129
065-1014,1503,630,41.92,21,427,6,139,14,238,333
065-1015,792,163,20.58,4,112,0,34,7,63,83
065-1015,792,342,43.18,5,267,0,49,10,140,186
065-1016,1968,327,16.62,7,245,1,58,9,166,147
065-1016,1968,969,49.24,28,694,8,178,29,386,519
065-1017,585,106,18.12,2,71,1,19,7,59,45
065-1017,585,273,46.67,3,202,0,58,8,141,117
065-1018,2037,343,16.84,8,226,2,86,11,158,149
065-1018,2037,1010,49.58,17,646,11,272,37,363,560
065-2019,537,156,29.05,3,131,0,14,4,90,56
065-2019,537,199,37.06,9,164,2,15,4,105,79
065-2020,1925,385,20.00,11,291,1,64,6,185,165
065-2020,1925,969,50.34,15,629,9,250,39,378,487
065-2021,1282,320,24.96,8,243,1,55,7,146,149
065-2021,1282,603,47.04,16,401,6,145,19,214,328
065-2022,1672,447,26.73,10,247,2,157,19,159,232
065-2022,1672,901,53.89,15,498,2,305,47,245,543
065-2023,2008,398,19.82,12,249,1,106,18,196,157
065-2023,2008,1056,52.59,31,646,5,294,31,361,577
065-2024,1961,334,17.03,11,184,1,118,11,122,182
065-2024,1961,1176,59.97,22,660,5,403,51,317,711
065-2025,2165,422,19.49,3,358,1,46,3,223,180
065-2025,2165,933,43.09,20,782,5,90,12,470,425
065-2027,1449,306,21.12,5,169,3,105,9,96,172
065-2027,1449,833,57.49,12,492,1,262,28,205,521
065-2028,1258,242,19.24,4,129,0,97,6,67,135
065-2028,1258,739,58.74,15,345,2,316,34,219,418
065-2029,1659,286,17.24,10,131,0,127,12,98,138
065-2029,1659,1009,60.82,14,482,1,432,46,273,583
065-2030,1636,375,22.92,10,181,3,156,10,133,180
065-2030,1636,952,58.19,23,542,6,314,42,233,579
065-2031,878,213,24.26,9,84,1,99,8,70,119
065-2031,878,460,52.39,8,259,0,160,16,157,242
065-2032,1170,200,17.09,4,119,1,62,7,74,107
065-2032,1170,580,49.57,8,360,4,169,16,202,319
065-2033,716,140,19.55,3,105,2,18,4,86,48
065-2033,716,302,42.18,8,241,3,40,5,135,159
065-2034,2426,419,17.27,12,336,1,48,6,213,171
065-2034,2426,1224,50.45,16,980,8,168,25,569,572
065-2035,770,164,21.30,4,112,1,41,3,68,86
065-2035,770,390,50.65,5,245,2,110,13,121,242
065-2036,1639,308,18.79,8,212,5,63,11,147,139
065-2036,1639,732,44.66,18,521,5,141,17,312,346
065-2037,1463,287,19.62,9,209,1,54,9,142,123
065-2037,1463,655,44.77,18,447,7,141,23,287,317
065-2038,740,120,16.22,1,63,0,45,8,43,69
065-2038,740,418,56.49,11,219,1,157,19,147,237
065-2039,1526,260,17.04,7,183,5,48,11,119,126
065-2039,1526,744,48.75,15,555,4,132,27,286,406
065-2040,852,147,17.25,1,98,1,43,2,50,81
065-2040,852,449,52.70,6,306,2,107,19,144,279
065-2041,1105,195,17.65,3,139,0,47,3,72,104
065-2041,1105,590,53.39,6,434,2,111,14,196,361
065-2042,1383,239,17.28,4,163,3,60,4,86,134
065-2042,1383,683,49.39,14,493,6,131,19,266,368
065-2043,1308,242,18.50,5,156,1,63,9,107,113
065-2043,1308,716,54.74,21,457,6,180,17,266,395
065-2044,993,169,17.02,8,116,2,34,1,72,75
065-2044,993,562,56.60,9,380,2,129,18,187,340
065-2045,1576,286,18.15,7,184,3,78,6,121,133
065-2045,1576,858,54.44,13,613,7,169,21,320,470
065-2046,1426,321,22.51,12,223,4,63,8,119,166
065-2046,1426,710,49.79,13,505,3,150,20,241,412
065-2047,690,134,19.42,7,86,2,27,4,61,61
065-2047,690,321,46.52,1,202,1,92,12,96,189
065-3048,984,135,13.72,3,107,1,14,2,73,55
065-3048,984,463,47.05,11,370,6,59,6,232,215
065-3049,2427,427,17.59,10,349,3,42,10,254,149
065-3049,2427,1141,47.01,23,952,9,116,19,617,487
065-3050,1257,237,18.85,6,175,1,40,6,133,91
065-3050,1257,637,50.68,6,383,1,223,5,269,282
065-3051,1627,323,19.85,4,255,3,44,8,165,133
065-3051,1627,768,47.20,10,604,7,108,23,342,382
065-3052,1402,302,21.54,2,232,1,56,3,142,142
065-3052,1402,663,47.29,8,503,8,114,12,309,322
065-3053,1195,229,19.16,7,178,3,23,10,115,97
065-3053,1195,496,41.51,9,411,4,39,10,245,217
065-3054,1527,309,20.24,5,219,2,57,10,168,120
065-3054,1527,695,45.51,12,535,13,90,21,296,356
065-3055,1445,303,20.97,3,226,5,50,2,160,124
065-3055,1445,709,49.07,10,556,10,90,22,276,389
065-3056,1665,303,18.20,2,235,0,47,6,167,113
065-3056,1665,756,45.41,18,568,6,128,12,361,338
065-3057,1200,248,20.67,0,183,3,50,2,102,118
065-3057,1200,570,47.50,14,421,13,96,12,243,294
065-3058,1722,342,19.86,4,278,3,39,9,180,147
065-3058,1722,846,49.13,21,668,9,111,13,416,386
065-3059,1682,350,20.81,10,281,4,40,6,186,143
065-3059,1682,747,44.41,17,598,6,98,11,344,375
065-3062,1277,306,23.96,1,140,2,135,14,108,146
065-3062,1277,658,51.53,11,277,6,295,41,167,378
065-3063,634,143,22.56,0,28,0,101,9,53,62
065-3063,634,377,59.46,7,92,0,247,15,87,183
065-3160,748,194,25.94,2,133,1,48,3,88,90
