pct16,reg,ballots,turnout,pres_stein,pres_clinton,pres_lariva,pres_trump,pres_johnson,ussen_sanchez,ussen_harris
065-11103,4066,1324,65.12,34,887,11,316,40,519,673
065-11105,298,73,49.0,1,50,2,19,0,35,32
065-11108,5054,1606,63.55,55,1228,8,190,54,632,763
065-11113,0,0,0.0,0,0,0,0,0,0,0
065-11200,4798,1369,57.07,33,1056,10,185,37,697,578
065-11205,4774,1277,53.5,43,1020,17,127,21,664,504
065-11206,3136,1018,64.93,16,787,9,158,16,414,508
065-11208,1712,526,61.44,13,440,3,45,13,203,256
065-11212,4626,1750,75.66,59,1104,9,452,68,608,939
065-11216,1810,576,63.65,18,488,0,42,16,283,232
065-11217,1448,552,76.25,18,362,2,140,17,165,317
065-11221,4222,1616,76.55,40,941,4,483,69,489,894
065-11224,4008,1620,80.84,34,929,6,526,55,504,896
065-11226,3508,1385,78.96,32,804,5,447,53,445,747
065-11227,5632,2430,86.3,21,1099,7,1100,95,770,1266
065-11233,10,5,100.0,0,1,0,4,0,2,1
065-11239,6,2,66.67,0,2,0,0,0,1,0
065-11302,3846,1675,87.1,23,738,2,748,77,523,846
065-11305,3570,1479,82.86,27,625,3,700,59,478,762
065-11310,4834,1920,79.44,41,971,6,779,61,771,868
065-11312,3514,1483,84.41,9,544,2,797,56,522,698
065-11314,2628,1128,85.85,12,484,3,546,38,354,585
065-11402,5164,1641,63.56,39,1136,17,351,42,783,700
065-11406,4114,1726,83.91,17,644,7,922,78,629,792
065-11411,4874,2081,85.39,26,878,5,1031,77,678,1005
065-11413,4970,1990,80.08,26,804,4,1005,64,602,993
065-11416,4772,1814,76.02,31,849,5,783,70,646,883
065-11419,3884,1578,81.25,25,695,4,751,63,509,792
065-11421,4278,1802,84.25,21,787,4,870,61,628,856
065-11424,3424,1391,81.25,19,607,1,675,48,490,661
065-11427,3846,1571,81.7,21,621,4,801,63,527,746
065-11432,4306,1704,79.15,24,740,5,835,52,573,809
065-11434,3644,1451,79.63,28,674,5,636,56,483,724
065-11435,0,0,0.0,0,0,0,0,0,0,0
065-11500,3192,1117,69.98,28,606,4,389,43,426,556
065-11501,4286,1596,74.47,35,817,5,609,70,618,766
065-11508,4372,1505,68.85,33,832,11,510,48,650,679
065-11511,3112,993,63.82,27,629,6,275,26,450,418
065-11517,730,260,71.24,9,85,0,113,24,79,119
065-11518,3322,1259,75.8,10,612,2,528,54,476,556
065-11521,3078,1201,78.04,15,602,3,487,50,487,544
065-11525,4042,1537,76.05,17,647,7,737,63,600,676
065-11528,5496,2043,74.35,36,985,10,847,69,821,889
065-11602,3382,1116,66.0,28,621,9,377,45,456,516
065-11605,5358,1660,61.96,29,1187,17,332,43,913,580
065-11607,4112,1358,66.05,35,910,10,308,45,683,550
065-11608,0,0,0.0,0,0,0,0,0,0,0
065-11610,4274,1378,64.49,38,921,8,330,43,659,599
065-11611,2,1,100.0,0,0,0,1,0,0,0
065-11613,3546,1206,68.02,18,754,11,326,46,521,538
065-11617,4050,1440,71.12,26,824,4,488,56,575,681
065-11618,2668,837,62.74,23,508,6,243,28,341,400
065-11620,616,184,59.74,7,108,2,50,9,83,81
065-11625,0,0,0.0,0,0,0,0,0,0,0
065-11627,3006,1120,74.52,10,560,2,476,43,453,509
065-11629,4120,1505,73.06,25,808,6,576,51,644,636
065-11700,3434,1279,74.49,23,632,10,510,52,574,514
065-11701,4814,1491,61.95,28,937,13,432,41,745,536
065-11709,4764,1711,71.83,27,890,9,661,58,679,750
065-11711,2042,670,65.62,10,425,3,184,26,374,227
065-11712,4350,1579,72.6,31,878,7,535,65,494,857
065-11715,2938,1112,75.7,14,577,4,450,24,371,563
065-11717,3468,1255,72.38,24,740,2,402,47,472,625
065-11802,250,104,83.2,4,45,0,53,2,62,28
065-11803,26,12,92.31,0,3,0,8,1,2,8
065-11807,36,14,77.78,0,3,0,10,0,7,6
065-11820,420,155,73.81,4,64,0,80,6,58,74
065-11821,172,63,73.25,4,16,0,36,6,20,28
065-11861,2978,1190,79.92,17,493,1,609,28,441,518
065-11863,8,3,75.0,0,2,0,0,1,3,0
065-11865,2274,872,76.69,11,388,5,410,32,330,382
065-11872,2304,907,78.73,8,292,8,543,34,326,358
065-11874,3110,1247,80.19,17,422,2,718,46,505,470
065-11901,4438,1821,82.06,25,850,7,851,49,676,811
065-11903,0,0,0.0,0,0,0,0,0,0,0
065-11907,2186,893,81.7,4,259,2,585,24,311,361
065-11908,26,9,69.23,0,5,0,4,0,1,4
065-11911,32,14,87.5,1,2,0,11,0,1,11
065-11914,462,187,80.96,1,47,0,130,3,62,83
065-11915,1686,716,84.94,8,200,3,447,30,236,270
065-11920,2822,1113,78.88,14,476,2,552,31,351,518
065-11929,4164,1689,81.12,27,551,5,984,67,608,699
065-11930,3456,1426,82.52,18,549,3,778,45,531,608
065-11932,2102,818,77.83,12,281,4,472,24,300,329
065-11943,1062,406,76.46,5,188,2,188,14,139,191
065-11945,900,337,74.89,3,141,1,174,12,120,136
065-11948,2012,730,72.57,12,256,4,410,27,269,296
065-11953,4702,1611,68.52,20,967,8,523,41,689,712
065-11954,3152,911,57.81,23,642,10,175,27,476,348
065-11959,3048,953,62.53,19,729,2,150,27,496,384
065-11960,22,10,90.91,0,3,0,4,3,4,3
065-11963,936,308,65.81,7,168,2,120,7,141,118
065-11967,226,67,59.29,2,44,1,14,2,41,21
065-11970,0,0,0.0,0,0,0,0,0,0,0
065-11971,0,0,0.0,0,0,0,0,0,0,0
065-11972,0,0,0.0,0,0,0,0,0,0,0
065-11975,0,0,0.0,0,0,0,0,0,0,0
065-11980,740,304,82.16,2,95,0,186,11,97,124
065-12008,4594,1830,79.67,30,717,1,971,66,715,758
065-12012,3698,1426,77.12,28,629,11,674,33,531,625
065-12014,3198,1298,81.18,9,585,6,646,27,536,516
065-12016,3778,1358,71.89,30,609,7,625,45,546,554
065-12024,2770,999,72.13,29,522,11,393,27,415,414
065-12026,4262,1521,71.37,30,798,8,581,51,601,641
065-12028,2804,1054,75.18,8,409,3,582,30,400,445
065-12029,0,0,0.0,0,0,0,0,0,0,0
065-12033,4330,1575,72.75,24,848,5,600,61,619,686
065-12043,3742,1473,78.73,23,612,3,769,35,486,669
065-12045,1728,631,73.04,6,283,3,296,24,228,270
065-12048,5378,2102,78.17,37,819,8,1106,81,728,912
065-12055,3746,1539,82.17,7,671,4,769,50,471,739
065-12057,1340,488,72.84,6,225,0,227,16,209,188
065-12066,3114,1032,66.28,24,520,6,399,44,463,388
065-12602,3080,1196,77.66,19,522,3,590,41,432,540
065-12603,1728,697,80.67,11,257,4,389,16,253,290
065-12604,2560,1036,80.94,13,485,2,476,34,362,493
065-12649,38,15,78.95,0,10,0,5,0,4,11
065-12650,360,137,76.11,0,62,1,65,4,38,58
065-12651,5892,2486,84.38,10,924,9,1415,45,754,1196
065-12660,362,156,86.19,3,74,0,74,4,42,80
065-12664,4494,1722,76.64,16,850,5,750,63,582,812
065-12703,8,2,50.0,0,1,0,0,0,0,2
065-12704,3384,1347,79.61,16,561,0,673,53,460,605
065-12710,3264,1294,79.29,23,534,7,647,45,498,571
065-12750,0,0,0.0,0,0,0,0,0,0,0
065-12756,424,181,85.38,2,37,1,126,7,57,60
065-12757,88,33,75.0,0,8,0,23,2,8,10
065-12758,296,114,77.02,5,36,0,63,6,43,46
065-12849,0,0,0.0,0,0,0,0,0,0,0
065-12850,32,13,81.25,0,8,0,5,0,2,6
065-12851,1944,779,80.15,5,364,2,351,31,268,367
065-12900,2,1,100.0,0,0,0,1,0,0,0
065-12901,556,218,78.42,9,99,3,88,13,80,114
065-12920,0,0,0.0,0,0,0,0,0,0,0
065-12921,14,7,100.0,0,0,0,7,0,4,3
065-12922,356,146,82.03,2,38,0,101,2,55,45
065-13005,4900,2041,83.3,10,425,3,1496,54,684,724
065-13006,4942,2064,83.53,13,484,4,1477,51,667,792
065-13020,3354,1429,85.21,13,266,3,1079,42,449,545
065-14105,3160,1245,78.8,16,419,9,721,43,459,484
065-14108,2372,850,71.67,22,420,16,347,26,388,319
065-14200,26,12,92.31,0,4,0,8,0,3,8
065-14201,454,168,74.01,5,79,1,71,8,78,59
065-14207,3836,1482,77.27,30,466,4,879,67,503,639
065-14211,2022,795,78.64,18,278,1,440,30,289,328
065-14303,4294,1661,77.36,21,505,2,993,77,619,655
065-14307,3242,1264,77.98,7,463,2,720,47,460,523
065-14401,4090,1628,79.61,23,503,14,986,66,589,651
065-14403,2248,911,81.05,22,340,4,485,32,382,309
065-14504,5620,2179,77.54,29,780,7,1222,93,742,895
065-14506,1828,732,80.08,7,226,6,448,27,248,302
065-14802,3382,1156,68.36,15,457,4,596,45,479,458
065-14804,3026,1071,70.79,15,457,11,508,49,437,440
065-14850,190,87,91.58,0,29,0,52,4,21,40
065-14901,1410,518,73.47,5,215,4,268,11,225,194
065-14902,2352,941,80.01,11,329,7,545,21,362,390
065-14904,40,12,60.0,0,5,0,7,0,4,6
065-14908,330,114,69.09,2,54,0,55,3,51,47
065-14909,396,132,66.67,1,61,0,61,5,61,54
065-14910,52,22,84.62,0,3,0,19,0,8,12
065-15810,1254,529,84.37,4,141,0,350,28,183,210
065-15815,150,66,88.0,0,23,0,41,1,12,38
065-15843,0,0,0.0,0,0,0,0,0,0,0
065-15844,40,13,65.0,0,11,0,1,1,6,7
065-15846,2318,687,59.28,7,505,8,126,22,381,229
065-15852,882,354,80.28,2,110,1,224,8,144,129
065-15855,216,69,63.89,2,48,1,15,0,44,19
065-15856,160,39,48.75,0,28,0,10,1,17,19
065-15863,2738,833,60.85,18,589,5,184,14,455,285
065-15874,10,5,100.0,0,4,0,1,0,1,2
065-15877,812,297,73.16,4,131,2,141,11,133,112
065-15880,0,0,0.0,0,0,0,0,0,0,0
065-15885,606,230,75.91,0,101,1,118,6,92,92
065-18603,3770,1630,86.47,10,336,4,1188,52,513,541
065-18612,2322,992,85.44,8,286,2,634,40,302,404
065-18614,222,96,86.48,1,30,0,61,2,30,38
065-20005,4726,1715,72.57,28,1038,7,551,32,643,874
065-20014,3706,1228,66.28,12,789,7,354,38,545,516
065-20020,3864,1395,72.21,33,763,12,504,46,682,518
065-20022,4224,1557,73.72,27,847,10,585,41,647,680
065-20023,4172,1527,73.2,30,879,7,532,44,707,609
065-20026,0,0,0.0,0,0,0,0,0,0,0
065-20027,282,101,71.63,1,55,0,43,1,48,40
065-20029,2,0,0.0,0,0,0,0,0,0,0
065-20031,22,5,45.45,0,4,0,1,0,4,1
065-20033,2192,617,56.3,14,527,6,52,9,293,290
065-20034,8,4,100.0,0,1,0,3,0,1,1
065-20035,0,0,0.0,0,0,0,0,0,0,0
065-20037,1302,474,72.82,8,294,3,145,11,144,268
065-20038,0,0,0.0,0,0,0,0,0,0,0
065-20039,3246,1291,79.54,15,542,2,651,45,500,557
065-20042,4228,1614,76.35,19,779,11,691,70,691,662
065-20044,1404,483,68.8,7,268,3,181,17,221,190
065-20045,0,0,0.0,0,0,0,0,0,0,0
065-20048,3966,1354,68.28,25,831,16,416,31,729,472
065-20050,0,0,0.0,0,0,0,0,0,0,0
065-20052,4370,1529,69.98,26,849,9,568,40,713,602
065-20054,2712,938,69.17,14,488,6,365,35,442,361
065-20055,2,0,0.0,0,0,0,0,0,0,0
065-20056,3570,1417,79.38,21,623,6,680,33,563,623
065-20062,4676,1837,78.57,29,771,4,931,54,672,846
065-20064,1718,598,69.62,7,292,1,262,17,256,233
065-20066,2586,941,72.78,16,515,8,349,26,410,400
065-20068,0,0,0.0,0,0,0,0,0,0,0
065-20069,0,0,0.0,0,0,0,0,0,0,0
065-20071,2132,806,75.61,6,384,4,347,42,309,380
065-20073,0,0,0.0,0,0,0,0,0,0,0
065-20075,158,57,72.15,3,30,0,20,3,27,23
065-20077,10,5,100.0,0,4,0,1,0,4,1
065-20080,4194,1219,58.13,16,938,13,184,37,628,483
065-20081,3266,1188,72.75,22,629,11,439,51,518,511
065-20084,3878,1259,64.93,26,737,14,406,48,565,552
065-20085,68,26,76.47,0,21,1,3,0,14,12
065-20086,206,81,78.64,3,50,2,18,3,34,42
065-20087,72,32,88.89,0,11,0,17,3,10,12
065-20088,0,0,0.0,0,0,0,0,0,0,0
065-20091,4408,1345,61.02,21,947,11,282,47,673,541
065-20093,10,4,80.0,0,0,0,3,0,0,4
065-20096,0,0,0.0,0,0,0,0,0,0,0
065-20800,0,0,0.0,0,0,0,0,0,0,0
065-20801,0,0,0.0,0,0,0,0,0,0,0
065-20802,0,0,0.0,0,0,0,0,0,0,0
065-20803,0,0,0.0,0,0,0,0,0,0,0
065-20804,0,0,0.0,0,0,0,0,0,0,0
065-20806,0,0,0.0,0,0,0,0,0,0,0
065-20807,0,0,0.0,0,0,0,0,0,0,0
065-20808,0,0,0.0,0,0,0,0,0,0,0
065-21103,2966,1151,77.62,36,513,9,514,37,457,507
065-21105,2552,1061,83.15,32,550,5,401,32,342,567
065-21107,3732,1481,79.37,43,823,8,482,52,472,797
065-21109,3574,1448,81.03,33,721,12,561,67,508,728
065-21114,4606,1471,63.88,62,865,12,401,57,537,765
065-21117,3926,1430,72.85,32,884,9,380,66,511,719
065-21120,4262,1405,65.93,32,926,11,327,48,623,639
065-21124,3232,1050,64.98,32,641,7,302,49,458,478
065-21131,168,58,69.05,3,33,0,16,2,29,25
065-21300,0,0,0.0,0,0,0,0,0,0,0
065-21301,4114,1425,69.28,40,811,7,451,57,649,606
065-21304,3000,1023,68.2,17,627,5,303,42,485,408
065-21306,4492,1647,73.33,37,838,8,641,60,638,770
065-21313,4574,1691,73.94,36,828,3,676,72,584,813
065-21314,3922,1462,74.55,43,687,5,604,66,529,715
065-21316,4090,1460,71.39,42,779,8,506,61,566,693
065-21317,1910,695,72.78,18,344,8,288,14,294,295
065-21500,1184,413,69.76,14,232,4,136,14,194,152
065-21503,4158,1454,69.94,32,765,9,538,50,563,677
065-21700,2888,1086,75.21,25,502,9,470,48,462,435
065-21702,2546,867,68.1,13,479,7,301,39,384,363
065-21704,4952,1524,61.55,36,1051,9,321,46,756,618
065-21800,28,14,100.0,0,8,0,4,1,10,4
065-21986,4658,1631,70.03,33,917,11,597,43,773,639
