pct16,total,voters,vote_for,count,votes,prop55_yes,yespct,prop55_no,nopct
077-0011101,Total,466,5,245,230,191,83.04%,39,16.96%
077-0011102,Total,760,5,436,417,315,75.54%,102,24.46%
077-0011103,Total,866,5,437,414,351,84.78%,63,15.22%
077-0011104,Total,1787,5,851,816,654,80.15%,162,19.85%
077-0011105,Total,795,5,351,334,274,82.04%,60,17.96%
077-0011107,Total,743,5,378,352,284,80.68%,68,19.32%
077-0011108,Total,776,5,347,336,263,78.27%,73,21.73%
077-0011109,Total,810,5,416,394,332,84.26%,62,15.74%
077-0011110,Total,1248,5,462,434,364,83.87%,70,16.13%
077-0011111,Total,1354,5,839,792,624,78.79%,168,21.21%
077-0011112,Total,775,5,329,314,231,73.57%,83,26.43%
077-0011114,Total,1637,5,831,795,615,77.36%,180,22.64%
077-0011115,Total,1188,5,678,644,511,79.35%,133,20.65%
077-0011116,Total,1474,5,778,745,584,78.39%,161,21.61%
077-0011117,Total,1599,5,742,711,557,78.34%,154,21.66%
077-0011118,Total,1425,5,879,813,620,76.26%,193,23.74%
077-0011119,Total,455,5,125,121,91,75.21%,30,24.79%
077-0011120,Total,1535,5,785,754,547,72.55%,207,27.45%
077-0011121,Total,1277,5,835,800,610,76.25%,190,23.75%
077-0011122,Total,1618,5,805,768,573,74.61%,195,25.39%
077-0011124,Total,804,5,425,411,298,72.51%,113,27.49%
077-0011125,Total,1438,5,1017,971,729,75.08%,242,24.92%
077-0011127,Total,1490,5,904,887,670,75.54%,217,24.46%
077-0011130,Total,468,5,251,236,161,68.22%,75,31.78%
077-0011134,Total,722,5,414,392,317,80.87%,75,19.13%
077-0011137,Total,838,5,514,498,362,72.69%,136,27.31%
077-0011140,Total,670,5,334,313,234,74.76%,79,25.24%
077-0011142,Total,1622,5,1031,969,753,77.71%,216,22.29%
077-0011146,Total,917,5,596,557,431,77.38%,126,22.62%
077-0011147,Total,863,5,462,442,338,76.47%,104,23.53%
077-0011149,Total,1343,5,852,797,548,68.76%,249,31.24%
077-0011151,Total,1307,5,673,645,478,74.11%,167,25.89%
077-0011152,Total,1013,5,722,689,484,70.25%,205,29.75%
