pct16,NON - SCOTT J. SWENDIMAN,NON - JOE AYER,Write-In
089-Columbia134,605,368,12
089-Columbia2,9,3,0
089-Dryden1,285,265,5
089-Dryden24,656,329,6
089-Dryden35,453,290,2
089-Ent1A,230,154,5
089-Ent1B9,296,218,5
089-Ent1CMistletoe,217,123,3
089-Ent1D10,307,244,5
089-Ent1E2E,482,297,6
089-Ent78,475,196,5
089-ShastaView12,407,290,8
089-Ent2A2B2C,562,303,8
089-Ent3A,47,26,0
089-Ent3B,1,1,0
089-Ent3C3D,3,4,0
089-Mistletoe12,433,233,9
089-Mistletoe35,270,251,15
089-Pacheco4,92,62,0
089-Redding18A18B42,838,525,6
089-Redding21,54,26,1
089-Redding32343638,488,218,7
089-Vineyard,139,40,0
089-1,7349,4466,108
