pct16,NON - BILL SCHAPPELL,NON - STEVE MORGAN,Write-In
089-MountainGate123Bass12,308,412,6
089-Castle,54,56,1
089-DiggerBaySummit,2,2,0
089-Columbia134,498,492,8
089-Columbia2,9,2,0
089-Delta,298,214,6
089-Dryden1,224,300,0
089-Dryden24,478,499,4
089-Dryden35,405,333,3
089-Ent3B,1,1,0
089-HammansPineGrove12,478,508,3
089-Mistletoe35,213,286,8
089-Pacheco4,76,79,1
089-Redding18A18B42,658,696,3
089-Redding2040,361,330,6
089-Redding21,56,23,0
089-Redding32343638,572,531,3
089-TierraOaks,55,74,1
089-Vineyard,93,80,0
089-ShastaLake1,0,0,0
089-ShastaLake2,34,24,0
089-ShastaLake37,195,359,3
089-ShastaLake4,198,280,4
089-ShastaLake5,334,469,5
089-ShastaLake68,303,582,6
089-ShastaLake9,199,363,3
089-1,6102,6995,74
