pct16,prop64_yes,prop64_no
095-17005,946,702
095-17045,1421,923
095-17070,1470,921
095-17100,1193,657
095-17110,599,398
095-17115,898,522
095-17140,901,412
095-17152,616,307
095-17180,321,168
095-17185,1114,422
095-17205,844,402
095-17220,667,331
095-17245,1364,841
095-17265,521,387
095-17285,902,664
095-17289,674,573
095-17290,653,534
095-17310,856,324
095-17335,647,339
095-17380,857,626
095-17395,1437,895
095-17400,12,13
095-19805,3,1
095-19820,3,2
095-21005,1296,645
095-21007,1291,676
095-21020,914,467
095-21035,1078,474
095-21090,611,400
095-21095,1583,1042
095-21125,1691,1189
095-21130,1095,787
095-23005,785,699
095-23016,1255,794
095-23018,1,1
095-23020,1101,794
095-23050,3,3
095-23055,362,242
095-23090,366,200
095-23095,431,298
095-27020,259,105
095-27050,849,396
095-27055,396,177
095-27070,931,340
095-27080,510,357
095-27090,855,524
095-27110,893,508
095-27115,919,469
095-27130,688,523
095-27165,994,550
095-27175,578,329
095-27185,419,275
095-27187,173,103
095-29405,232,253
095-29406,238,233
095-29407,54,52
095-29408,38,42
095-29820,256,105
095-29830,9,13
095-29835,26,6
095-29840,177,77
095-33010,385,363
095-33015,751,630
095-33025,476,355
095-33040,546,369
095-33041,303,229
095-33042,206,132
095-33043,131,129
095-33045,394,349
095-33050,687,673
095-33065,733,563
095-33070,880,551
095-33075,578,360
095-33080,174,130
095-33115,802,622
095-33117,0,0
095-33119,72,87
095-33190,986,538
095-33195,443,291
095-33215,220,129
095-33216,88,65
095-33217,260,177
095-33218,158,120
095-33230,505,319
095-33240,328,199
095-33245,553,416
095-33250,385,287
095-33252,3,3
095-33254,24,22
095-33255,13,4
095-33256,106,143
095-33265,267,151
095-33267,224,188
095-35005,628,361
095-35020,614,383
095-35025,396,274
095-35040,1073,664
095-35045,891,642
095-35055,613,459
095-35057,189,88
095-39452,100,88
095-39454,87,81
095-42010,694,690
095-42012,102,103
095-42020,485,414
095-42022,391,276
095-42025,271,215
095-42045,182,233
095-42047,76,91
095-42048,41,36
095-42049,48,42
095-42050,576,632
095-42055,212,248
095-42060,64,46
095-42065,762,652
095-42070,305,252
095-46015,445,435
095-46020,886,676
095-46030,57,56
095-46050,855,742
095-46065,667,611
095-46070,652,433
095-46120,983,791
095-46123,89,97
095-46124,34,21
095-46125,20,26
095-46127,255,253
095-46129,177,126
095-46130,815,751
095-46150,864,861
095-46155,0,0
095-46157,258,209
095-46158,24,38
095-46159,47,60
095-46180,208,145
095-46185,403,338
095-46190,689,518
095-46210,599,404
095-46270,869,600
095-46380,835,522
095-46400,1065,855
095-46405,73,29
095-49730,216,245
095-49733,461,471
095-49740,57,46
095-49742,13,10
095-49744,166,131
095-53005,1323,950
095-53007,0,4
095-53070,1267,960
095-53075,2,2
095-53100,1408,980
095-53125,1318,1095
095-53140,871,893
095-54005,1042,782
095-54020,1778,1352
095-55005,1439,1005
095-55010,113,48
095-56010,920,1023
095-56012,77,59
095-56020,631,672
095-56050,554,560
095-56055,0,0
095-56100,638,503
095-56105,811,663
095-56107,1008,794
095-56109,83,30
095-56110,833,685
095-56125,893,714
095-56155,80,46
095-56165,342,384
095-56175,442,402
095-56190,851,683
095-56210,717,593
095-56215,8,5
095-59530,71,80
095-59700,85,63
095-59705,74,60
095-99001,20,29
095-99002,4,4
095-99003,22,23
095-99004,47,54
095-99005,19,21
095-99006,67,52
095-99008,1,0
095-99009,18,15
095-99010,75,97
095-99011,46,35
095-99015,2,0
095-99016,40,25
095-99018,15,4
095-99020,33,27
095-99024,36,41
095-99025,0,1
095-99027,9,14
095-99028,0,0
095-99029,52,37
095-99031,6,9
095-99032,64,27
095-99033,3,3
095-99034,4,6
095-99035,14,10
095-99038,8,11
095-99039,14,5
095-99043,8,2
095-99045,17,8
095-99046,12,12
095-99047,3,3
095-99049,15,31
095-99051,21,15
095-99055,2,2
095-99057,54,86
095-99059,12,19
095-99061,37,36
095-99063,53,55
095-99067,4,8
095-99071,8,4
095-99073,9,5
095-99075,7,3
095-99079,14,10
095-99081,0,0
095-99083,63,26
095-99085,24,18
095-99087,13,17
095-99089,2,0
095-99091,10,11
095-99093,6,6
095-99095,3,0
095-99904,0,0
095-99905,0,0
095-99907,0,0
095-99909,0,0
095-99913,0,0
095-99915,0,0
095-99917,0,0
095-99918,0,0
095-99919,0,0
095-99921,0,0
095-99925,0,0
095-99926,0,0
095-99927,0,0
095-99929,0,0
095-99930,0,0
095-99932,0,0
095-99933,0,0
095-99941,0,0
095-99944,0,0
095-99945,0,0
095-99947,0,0
095-99948,23,4
095-99949,0,0
095-99952,0,0
095-99953,0,0
095-99954,0,0
095-99955,0,0
095-99956,0,0
095-99957,0,0
095-99958,0,0
095-99959,0,0
095-99960,0,0
095-99961,0,0
095-99962,0,0
095-99965,0,0
095-99969,0,0
095-99977,0,0
