pct16,prop58_yes,prop58_no
17005,823,583
17045,1041,800
17070,1176,819
17100,895,687
17110,514,370
17115,721,493
17140,728,403
17152,444,303
17180,214,199
17185,824,489
17205,627,442
17220,538,353
17245,1098,802
17265,469,333
17285,863,530
17289,632,448
17290,555,464
17310,638,345
17335,435,355
17380,757,544
17395,1142,854
17400,13,9
19805,3,1
19820,4,1
21005,1078,652
21007,1068,670
21020,762,449
21035,863,485
21090,498,387
21095,1341,968
21125,1450,1124
21130,934,768
23005,666,661
23016,911,722
23018,2,1
23020,816,703
23050,4,1
23055,275,202
23090,239,260
23095,301,277
27020,200,114
27050,606,457
27055,313,190
27070,667,398
27080,434,315
27090,720,497
27110,754,449
27115,738,455
27130,624,459
27165,776,574
27175,449,342
27185,313,274
27187,160,81
29405,203,252
29406,187,248
29407,45,51
29408,35,39
29820,172,127
29830,8,8
29835,22,9
29840,108,94
33010,302,302
33015,605,650
33025,372,370
33040,373,435
33041,262,215
33042,147,140
33043,90,143
33045,344,331
33050,557,683
33065,610,539
33070,612,622
33075,426,377
33080,111,158
33115,683,566
33117,0,0
33119,70,65
33190,651,638
33195,290,323
33215,150,153
33216,60,72
33217,189,192
33218,118,116
33230,376,307
33240,234,225
33245,400,438
33250,284,282
33252,2,3
33254,17,26
33255,9,4
33256,71,148
33265,186,158
33267,188,172
35005,428,424
35020,455,378
35025,281,295
35040,771,684
35045,768,592
35055,511,427
35057,114,128
39452,69,97
39454,69,71
42010,528,697
42012,58,130
42020,359,421
42022,276,309
42025,221,201
42045,146,224
42047,60,94
42048,25,41
42049,41,42
42050,493,599
42055,145,258
42060,45,43
42065,520,715
42070,235,248
46015,391,412
46020,649,744
46030,48,52
46050,668,731
46065,523,591
46070,463,436
46120,702,801
46123,74,76
46124,18,28
46125,15,23
46127,159,209
46129,129,116
46130,630,749
46150,683,859
46155,0,0
46157,202,197
46158,17,39
46159,45,57
46180,153,138
46185,290,343
46190,525,528
46210,410,477
46270,645,637
46380,607,561
46400,801,854
46405,46,32
49730,179,233
49733,309,533
49740,31,51
49742,12,8
49744,154,119
53005,1042,941
53007,0,2
53070,1004,969
53075,1,2
53100,1058,1022
53125,1051,1112
53140,651,766
54005,693,911
54020,1723,1186
55005,1078,1062
55010,80,56
56010,887,858
56012,54,62
56020,529,626
56050,468,527
56055,0,0
56100,499,493
56105,570,627
56107,731,813
56109,51,46
56110,687,650
56125,658,736
56155,61,53
56165,299,318
56175,365,390
56190,628,745
56210,571,620
56215,3,2
59530,61,79
59700,55,78
59705,56,65
99001,23,21
99002,1,6
99003,15,27
99004,44,50
99005,15,23
99006,55,44
99008,0,1
99009,18,13
99010,56,101
99011,30,38
99015,0,2
99016,41,27
99018,7,10
99020,16,35
99024,28,41
99025,0,1
99027,10,11
99028,2,0
99029,31,47
99031,7,7
99032,42,31
99033,4,2
99034,3,6
99035,6,17
99038,3,13
99039,5,14
99043,4,5
99045,18,5
99046,13,8
99047,3,3
99049,9,34
99051,18,15
99055,1,3
99057,58,74
99059,19,10
99061,31,35
99063,46,54
99067,3,7
99071,5,5
99073,3,7
99075,3,7
99079,7,16
99081,0,0
99083,33,47
99085,18,22
99087,17,13
99089,2,0
99091,8,11
99093,3,8
99095,2,1
99904,0,0
99905,0,0
99907,0,0
99909,0,0
99913,0,0
99915,0,0
99917,0,0
99918,0,0
99919,0,0
99921,0,0
99925,0,0
99926,0,0
99927,0,0
99929,0,0
99930,0,0
99932,0,0
99933,0,0
99941,0,0
99944,0,0
99945,0,0
99947,0,0
99948,17,7
99949,0,0
99952,0,0
99953,0,0
99954,0,0
99955,0,0
99956,0,0
99957,0,0
99958,0,0
99959,0,0
99960,0,0
99961,0,0
99962,0,0
99965,0,0
99969,0,0
99977,0,0
