new,old
200,200
200,208
202,202
202,204
202,206
350,350
352,352
352,354
352,356
360,360
360,362
360,368
360,370
364,364
364,366
400,400
400,402
400,404
420,420
422,422
422,424
426,426
500,500
500,522
500,526
502,502
502,504
506,507
508,508
510,510
510,514
512,512
516,516
516,532
518,518
520,520
530,530
550,550
550,558
552,552
552,562
552,566
554,554
554,560
554,564
554,568
554,570
554,578
556,556
572,572
572,574
572,576
600,600
700,700
702,702
704,704
704,705
706,706
706,707
708,708
708,709
710,710
710,711
712,712
712,713
714,714
714,715
716,716
716,717
718,718
718,719
720,720
720,721
722,722
722,723
722,748
724,724
724,738
724,812
726,726
726,727
728,728
728,790
730,730
732,732
732,733
734,734
734,735
736,736
736,737
740,740
740,741
742,742
744,744
744,745
746,746
746,762
750,750
750,750
751,751
751,751
752,752
752,752
752,753
752,753
754,754
754,754
754,755
754,755
756,756
756,757
758,758
758,759
764,764
764,765
768,768
768,768
768,769
768,769
770,770
770,770
770,771
770,771
774,774
776,776
776,777
778,778
778,779
780,780
782,782
782,786
784,784
784,792
784,794
784,804
788,788
796,796
796,797
798,798
798,799
800,800
802,802
806,806
808,808
810,810
814,814
816,816
818,818
950,950
950,952
950,956
950,1022
950,1024
954,954
954,962
954,968
954,976
954,988
954,996
958,958
958,1028
958,1030
958,1042
958,1044
960,960
960,964
960,966
970,970
972,972
972,974
982,982
982,984
982,986
990,990
990,992
990,994
990,998
1000,1000
1000,1004
1000,1006
1000,1048
1008,1008
1008,1010
1008,1012
1008,1014
1008,1018
1008,1020
1042,1046
1080,1080
1080,1082
1084,1084
1100,1100
1110,1110
1120,1120
1120,1122
1120,1124
1120,1126
1120,1128
1120,1130
1120,1132
1120,1134
1120,1136
1290,1290
1292,1292
1292,1302
1292,1304
1292,1306
1292,1308
1292,1308
1294,1294
1296,1296
1296,1300
1296,1310
1298,1298
1298,1318
1310,1320
1310,1322
1312,1312
1312,1314
1390,1390
1390,1392
1390,1394
1400,1400
1400,1401
1402,1402
1404,1404
1404,1406
1404,1408
1410,1410
1600,1600
1600,1601
1602,1602
1604,1604
1604,1605
1606,1606
1606,1607
1608,1608
1608,1609
1610,1610
1612,1612
1700,1700
1702,1702
1704,1704
1706,1706
1710,1710
1712,1712
1720,1720
1722,1722
1722,1740
1724,1724
1726,1726
1728,1728
1730,1730
1730,1742
1732,1732
1734,1734
1734,1736
1738,1738
1800,1800
1800,7000
1802,1802
1850,1850
1850,1852
2100,2100
2102,2102
2106,2106
2108,2108
2110,2110
2200,2200
2300,2300
2400,2400
2400,2401
2402,2402
2660,2660
2660,2661
2700,2700
2710,2710
2712,2712
2714,2714
2716,2716
2718,2718
2720,2720
2722,2722
2750,2750
2752,2752
2752,2756
2752,2762
2756,2754
2756,2760
2766,2766
2766,2768
2780,2780
2784,2784
2784,2788
2790,2790
2792,2792
2792,2794
2796,2796
2800,2800
2900,2900
2902,2902
2902,2902
2904,2904
2904,2912
2904,2920
2904,2920
2904,2924
2904,2924
2906,2906
2906,2948
2908,2908
2910,2910
2910,2922
2910,2930
2910,2934
2910,2946
2914,2914
2914,2932
2916,2916
2916,2926
2916,2928
2918,2918
2940,2940
2940,2940
2940,2942
2940,2942
2940,2944
2990,2990
2992,2992
2992,2993
2994,2994
2994,3010
2994,3012
2996,2996
2998,2998
3000,3000
3000,3004
3000,3006
3002,3002
3002,3014
3008,3008
3080,3080
3080,3081
3082,3082
3082,3088
3082,3090
3084,3084
3086,3086
3092,3092
3094,3094
3150,3150
3152,3152
3152,3154
3152,3156
3200,3200
3200,3202
3200,3204
3200,3206
3248,3248
3248,3249
3250,3250
3250,3251
3252,3252
3252,3253
3254,3254
3256,3256
3256,3257
3258,3258
3258,3259
3260,3260
3260,3261
3262,3262
3262,3263
3264,3264
3265,3265
3266,3266
3266,3267
3274,3274
3274,3275
3276,3276
3276,3277
3278,3278
3278,3279
3280,3280
3280,3281
3282,3282
3284,3284
3300,3300
3300,3302
3300,3304
3300,3306
3300,3308
3350,3350
3380,3380
3380,3382
3380,3384
3386,3386
3386,3388
3392,3392
3700,3700
3702,3702
3704,3706
3800,3800
3800,3801
3804,3804
3804,3805
3806,3806
3806,3807
3808,3808
3808,3814
3808,3816
3808,3818
3810,3810
3810,3811
3812,3812
3812,3813
3820,3820
3820,3821
3822,3822
3822,3823
3830,3830
3930,3930
3932,3932
3934,3934
3936,3936
3938,3938
3940,3940
3942,3942
3944,3944
3946,3946
3948,3948
3948,3950
3948,3954
3948,3956
3952,3952
3952,3960
3958,3958
3962,3962
3964,3964
3964,3968
3974,3974
3992,3992
3996,3996
3996,3998
3996,4000
3996,4002
4004,4004
4004,4006
4008,4008
4008,4010
4008,4012
4008,4014
4008,4016
4018,4018
4018,4024
4018,4028
4020,4020
4022,4022
4026,4026
4030,4030
4030,4030
4032,4032
4032,4032
4034,4034
4036,4036
4036,4036
4038,4038
4038,4038
4039,4039
4039,4039
4040,4040
4044,4044
4044,4044
4044,4054
4044,4054
4048,4048
4048,4048
4050,4050
4052,4052
4052,4052
4100,4100
4100,4101
4102,4102
4102,4103
4106,4106
4106,4107
4108,4108
4108,4109
4114,4114
4114,4115
4118,4118
4118,4119
4120,4120
4122,4122
4122,4124
4126,4126
4150,4150
4152,4152
4154,4154
4154,4155
4156,4156
4158,4158
4158,4159
4160,4160
4160,4161
4162,4162
4164,4164
4164,4166
4168,4168
4170,4170
4174,4174
4176,4176
4176,4178
4176,4180
4176,4182
4300,4300
4300,4301
4304,4304
4304,4314
4304,4418
4306,4306
4306,4307
4308,4308
4308,4309
4310,4310
4310,4408
4312,4312
4312,4313
4316,4316
4316,4317
4318,4318
4320,4320
4320,4321
4322,4322
4323,4323
4324,4324
4326,4326
4326,4327
4328,4328
4328,4329
4330,4330
4332,4332
4334,4334
4336,4336
4338,4338
4340,4340
4340,4341
4342,4342
4342,4343
4344,4344
4346,4346
4346,4347
4348,4348
4348,4349
4350,4350
4350,4351
4352,4352
4352,4353
4354,4354
4356,4356
4356,4357
4358,4358
4358,4359
4360,4360
4360,4361
4362,4362
4362,4363
4364,4364
4366,4366
4368,4368
4368,4369
4370,4370
4372,4372
4374,4374
4374,4375
4376,4376
4376,4377
4378,4378
4378,4379
4380,4380
4380,4381
4382,4382
4386,4386
