pct16,NPP - MICHELLE KOLBECK,NPP - CHRIS WILSON,NPP - KELSEY STEWART,NPP - TIM HICKS,NPP - CHRISTINA ''TINA'' URIAS,NPP - DEREK-JORDON (D.J.) LUNA,NPP - PAMELA THOMPSON,NPP - JERI MEAD,WRITE-IN
111-Briggs-NO101-102-103,48,56,56,32,58,58,77,48,0
111-Briggs-NO301,95,104,103,47,111,95,137,94,0
111-Briggs-NO302-303,5,12,10,8,6,1,10,10,0
111-Briggs-304,8,6,9,9,10,3,13,7,0
111-Mupu-NO301-303,59,58,51,31,46,43,69,44,2
111-Mupu-304-305,0,0,2,1,0,0,1,2,0
111-Mupu-North-NO301,0,0,0,0,0,0,0,0,0
111-Sta-Clara-NO301-302-304,27,38,23,12,26,17,25,33,0
111-Sta-Clara-NO303,0,0,0,0,0,0,0,0,0
111-Sta-Paula-NO301,598,578,467,316,515,499,643,560,3
111-Sta-Paula-NO302,361,351,312,220,390,370,425,380,4
111-Sta-Paula-NO303,417,340,392,260,503,412,600,347,13
111-Sta-Paula-NO304,475,411,513,321,599,549,753,480,10
111-Sta-Paula-NO305,187,128,188,103,354,252,317,129,10
111-Sta-Paula-NO306,0,0,0,0,0,0,0,0,0
111-Sta-Paula-NO307,619,484,527,364,620,567,737,561,8
111-Sta-Paula-NO308,224,206,207,142,241,207,288,182,2
111-Sta-Paula-NO309,258,202,221,153,229,249,270,232,3
111-Sta-Paula-NO310,210,161,239,124,308,239,376,157,0
111-Sta-Paula-NO311,30,31,36,17,36,30,34,24,0
111-Sta-Paula-NO312,113,73,113,56,159,147,154,79,0
111-Sta-Paula-NO313-314,74,98,63,53,63,57,118,85,1
111-Sta-Paula-NO315,5,1,2,0,9,4,4,2,3
111-Teag-McKev-NO301-302-303,42,39,30,20,35,34,42,39,1
111-Teag-McKev-NO305,0,0,0,0,0,0,0,0,0
