pct16,pres_clinton,pres_trump,pres_johnson,pres_stein,pres_lariva,pres_other,ussenate_harris,ussenate_sanchez,prop51_yes,prop51_no,prop52_yes,prop52_no,prop53_yes,prop53_no,prop54_yes,prop54_no,prop55_yes,prop55_no,prop56_yes,prop56_no,prop57_yes,prop57_no,prop58_yes,prop58_no,prop59_yes,prop59_no,prop60_yes,prop60_no,prop61_yes,prop61_no,prop62_yes,prop62_no,prop63_yes,prop63_no,prop64_yes,prop64_no,prop65_yes,prop65_no,prop66_yes,prop66_no,prop67_yes,prop67_no,pres_clinton_per,pres_trump_per,pres_third_per,pres_winner,pres_margin,votedensity,prop51_yes_per,prop51_no_per,prop52_yes_per,prop52_no_per,prop53_yes_per,prop53_no_per,prop54_yes_per,prop54_no_per,prop55_yes_per,prop55_no_per,prop56_yes_per,prop56_no_per,prop57_yes_per,prop57_no_per,prop58_yes_per,prop58_no_per,prop59_yes_per,prop59_no_per,prop60_yes_per,prop60_no_per,prop61_yes_per,prop61_no_per,prop62_yes_per,prop62_no_per,prop63_yes_per,prop63_no_per,prop64_yes_per,prop64_no_per,prop65_yes_per,prop65_no_per,prop66_yes_per,prop66_no_per,prop67_yes_per,prop67_no_per
097-1001,141.0,50.0,12.0,5.0,1.0,0.0,148.0,33.0,108.0,96.0,150.0,57.0,60.0,144.0,127.0,78.0,111.0,95.0,158.0,57.0,132.0,74.0,160.0,50.0,146.0,57.0,55.0,146.0,94.0,113.0,120.0,87.0,139.0,70.0,109.0,108.0,70.0,138.0,73.0,121.0,159.0,54.0,67.46,23.92,8.61,clinton,43.54,296.94482290440857,52.94,47.06,72.46,27.54,29.41,70.59,61.95,38.05,53.88,46.12,73.49,26.51,64.08,35.92,76.19,23.81,71.92,28.08,27.36,72.64,45.41,54.59,57.97,42.03,66.51,33.49,50.23,49.77,33.65,66.35,37.63,62.37,74.65,25.35
097-1002,14.0,2.0,3.0,2.0,0.0,0.0,15.0,6.0,12.0,9.0,16.0,4.0,7.0,13.0,14.0,6.0,18.0,3.0,19.0,3.0,14.0,8.0,18.0,3.0,17.0,4.0,10.0,10.0,16.0,5.0,12.0,8.0,16.0,5.0,15.0,7.0,8.0,14.0,8.0,13.0,20.0,2.0,66.67,9.52,23.81,clinton,52.38,1223.4295348368746,57.14,42.86,80.0,20.0,35.0,65.0,70.0,30.0,85.71,14.29,86.36,13.64,63.64,36.36,85.71,14.29,80.95,19.05,50.0,50.0,76.19,23.81,60.0,40.0,76.19,23.81,68.18,31.82,36.36,63.64,38.1,61.9,90.91,9.09
097-1006,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,100.0,0.0,trump,100.0,430.0830409006456,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0
097-1008,98.0,32.0,2.0,5.0,0.0,1.0,95.0,35.0,69.0,67.0,109.0,32.0,63.0,72.0,91.0,48.0,108.0,31.0,104.0,41.0,99.0,42.0,103.0,38.0,93.0,46.0,54.0,81.0,80.0,55.0,91.0,47.0,92.0,48.0,91.0,51.0,60.0,82.0,58.0,79.0,111.0,28.0,71.01,23.19,5.8,clinton,47.83,18.776759578600235,50.74,49.26,77.3,22.7,46.67,53.33,65.47,34.53,77.7,22.3,71.72,28.28,70.21,29.79,73.05,26.95,66.91,33.09,40.0,60.0,59.26,40.74,65.94,34.06,65.71,34.29,64.08,35.92,42.25,57.75,42.34,57.66,79.86,20.14
097-1009,80.0,32.0,4.0,6.0,1.0,2.0,74.0,32.0,67.0,55.0,89.0,31.0,56.0,59.0,80.0,34.0,87.0,33.0,71.0,54.0,78.0,44.0,88.0,34.0,85.0,31.0,40.0,78.0,57.0,61.0,61.0,59.0,61.0,62.0,67.0,58.0,59.0,63.0,46.0,65.0,86.0,39.0,64.0,25.6,10.4,clinton,38.4,1247.7493361548534,54.92,45.08,74.17,25.83,48.7,51.3,70.18,29.82,72.5,27.5,56.8,43.2,63.93,36.07,72.13,27.87,73.28,26.72,33.9,66.1,48.31,51.69,50.83,49.17,49.59,50.41,53.6,46.4,48.36,51.64,41.44,58.56,68.8,31.2
097-1010,106.0,83.0,8.0,5.0,0.0,4.0,114.0,47.0,85.0,114.0,128.0,66.0,104.0,96.0,127.0,69.0,98.0,102.0,121.0,83.0,123.0,79.0,145.0,55.0,118.0,74.0,63.0,132.0,94.0,104.0,88.0,112.0,96.0,105.0,95.0,107.0,96.0,105.0,93.0,100.0,116.0,87.0,51.46,40.29,8.25,clinton,11.17,38.89407858498963,42.71,57.29,65.98,34.02,52.0,48.0,64.8,35.2,49.0,51.0,59.31,40.69,60.89,39.11,72.5,27.5,61.46,38.54,32.31,67.69,47.47,52.53,44.0,56.0,47.76,52.24,47.03,52.97,47.76,52.24,48.19,51.81,57.14,42.86
097-1012,16.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,8.0,7.0,12.0,3.0,3.0,12.0,8.0,7.0,14.0,2.0,13.0,3.0,10.0,6.0,13.0,3.0,10.0,6.0,4.0,12.0,12.0,3.0,10.0,6.0,13.0,3.0,12.0,4.0,6.0,10.0,5.0,10.0,11.0,4.0,100.0,0.0,0.0,clinton,100.0,540.0159219691088,53.33,46.67,80.0,20.0,20.0,80.0,53.33,46.67,87.5,12.5,81.25,18.75,62.5,37.5,81.25,18.75,62.5,37.5,25.0,75.0,80.0,20.0,62.5,37.5,81.25,18.75,75.0,25.0,37.5,62.5,33.33,66.67,73.33,26.67
097-1017,508.0,140.0,19.0,21.0,8.0,5.0,491.0,117.0,379.0,283.0,487.0,161.0,219.0,423.0,406.0,230.0,441.0,221.0,472.0,208.0,500.0,166.0,515.0,155.0,448.0,199.0,229.0,406.0,351.0,292.0,406.0,257.0,466.0,206.0,437.0,251.0,294.0,373.0,272.0,363.0,507.0,163.0,72.47,19.97,7.56,clinton,52.5,216.38095432698245,57.25,42.75,75.15,24.85,34.11,65.89,63.84,36.16,66.62,33.38,69.41,30.59,75.08,24.92,76.87,23.13,69.24,30.76,36.06,63.94,54.59,45.41,61.24,38.76,69.35,30.65,63.52,36.48,44.08,55.92,42.83,57.17,75.67,24.33
097-1023,878.0,269.0,24.0,45.0,2.0,11.0,796.0,306.0,714.0,479.0,862.0,309.0,482.0,662.0,666.0,473.0,859.0,328.0,813.0,413.0,895.0,286.0,965.0,236.0,704.0,436.0,510.0,645.0,645.0,516.0,664.0,518.0,848.0,354.0,787.0,439.0,599.0,588.0,554.0,587.0,820.0,370.0,71.44,21.89,6.67,clinton,49.55,2109.702776448027,59.85,40.15,73.61,26.39,42.13,57.87,58.47,41.53,72.37,27.63,66.31,33.69,75.78,24.22,80.35,19.65,61.75,38.25,44.16,55.84,55.56,44.44,56.18,43.82,70.55,29.45,64.19,35.81,50.46,49.54,48.55,51.45,68.91,31.09
097-1032,108.0,36.0,2.0,0.0,2.0,0.0,102.0,34.0,79.0,68.0,117.0,27.0,53.0,92.0,87.0,52.0,96.0,53.0,104.0,47.0,119.0,29.0,120.0,29.0,103.0,39.0,65.0,77.0,74.0,69.0,82.0,63.0,100.0,45.0,86.0,63.0,77.0,71.0,73.0,69.0,97.0,48.0,72.97,24.32,2.7,clinton,48.65,1375.6799805785342,53.74,46.26,81.25,18.75,36.55,63.45,62.59,37.41,64.43,35.57,68.87,31.13,80.41,19.59,80.54,19.46,72.54,27.46,45.77,54.23,51.75,48.25,56.55,43.45,68.97,31.03,57.72,42.28,52.03,47.97,51.41,48.59,66.9,33.1
