pct16,pres_clinton,pres_trump,pres_johnson,pres_stein,pres_lariva,pres_other,ussenate_harris,ussenate_sanchez,prop51_yes,prop51_no,prop52_yes,prop52_no,prop53_yes,prop53_no,prop54_yes,prop54_no,prop55_yes,prop55_no,prop56_yes,prop56_no,prop57_yes,prop57_no,prop58_yes,prop58_no,prop59_yes,prop59_no,prop60_yes,prop60_no,prop61_yes,prop61_no,prop62_yes,prop62_no,prop63_yes,prop63_no,prop64_yes,prop64_no,prop65_yes,prop65_no,prop66_yes,prop66_no,prop67_yes,prop67_no,pres_clinton_per,pres_trump_per,pres_third_per,pres_winner,pres_margin,votedensity,prop51_yes_per,prop51_no_per,prop52_yes_per,prop52_no_per,prop53_yes_per,prop53_no_per,prop54_yes_per,prop54_no_per,prop55_yes_per,prop55_no_per,prop56_yes_per,prop56_no_per,prop57_yes_per,prop57_no_per,prop58_yes_per,prop58_no_per,prop59_yes_per,prop59_no_per,prop60_yes_per,prop60_no_per,prop61_yes_per,prop61_no_per,prop62_yes_per,prop62_no_per,prop63_yes_per,prop63_no_per,prop64_yes_per,prop64_no_per,prop65_yes_per,prop65_no_per,prop66_yes_per,prop66_no_per,prop67_yes_per,prop67_no_per
115-1001,206.0,236.0,15.0,12.0,4.0,11.0,213.0,188.0,259.0,213.0,311.0,159.0,287.0,173.0,318.0,149.0,274.0,195.0,208.0,270.0,279.0,188.0,334.0,137.0,211.0,254.0,235.0,228.0,188.0,283.0,152.0,315.0,183.0,281.0,264.0,216.0,173.0,293.0,261.0,199.0,158.0,311.0,42.56,48.76,8.68,trump,6.2,406.3236826811681,54.87,45.13,66.17,33.83,62.39,37.61,68.09,31.91,58.42,41.58,43.51,56.49,59.74,40.26,70.91,29.09,45.38,54.62,50.76,49.24,39.92,60.08,32.55,67.45,39.44,60.56,55.0,45.0,37.12,62.88,56.74,43.26,33.69,66.31
115-1002,247.0,251.0,32.0,7.0,4.0,22.0,260.0,199.0,295.0,258.0,324.0,223.0,305.0,228.0,354.0,178.0,330.0,212.0,344.0,208.0,281.0,270.0,392.0,155.0,215.0,306.0,244.0,273.0,196.0,343.0,163.0,369.0,248.0,295.0,286.0,265.0,210.0,318.0,261.0,256.0,193.0,341.0,43.87,44.58,11.55,trump,0.71,1797.3461353115265,53.35,46.65,59.23,40.77,57.22,42.78,66.54,33.46,60.89,39.11,62.32,37.68,51.0,49.0,71.66,28.34,41.27,58.73,47.2,52.8,36.36,63.64,30.64,69.36,45.67,54.33,51.91,48.09,39.77,60.23,50.48,49.52,36.14,63.86
115-1003,129.0,128.0,18.0,7.0,2.0,3.0,132.0,113.0,159.0,121.0,191.0,84.0,176.0,99.0,176.0,97.0,172.0,101.0,133.0,149.0,184.0,92.0,203.0,75.0,110.0,164.0,146.0,129.0,108.0,165.0,86.0,186.0,103.0,174.0,163.0,117.0,114.0,159.0,141.0,125.0,94.0,180.0,44.95,44.6,10.45,clinton,0.35,716.0060166995419,56.79,43.21,69.45,30.55,64.0,36.0,64.47,35.53,63.0,37.0,47.16,52.84,66.67,33.33,73.02,26.98,40.15,59.85,53.09,46.91,39.56,60.44,31.62,68.38,37.18,62.82,58.21,41.79,41.76,58.24,53.01,46.99,34.31,65.69
115-1004,233.0,262.0,34.0,22.0,7.0,11.0,220.0,250.0,311.0,234.0,356.0,182.0,304.0,233.0,344.0,195.0,331.0,207.0,246.0,305.0,302.0,240.0,383.0,159.0,230.0,301.0,287.0,244.0,218.0,314.0,178.0,356.0,214.0,330.0,278.0,268.0,204.0,324.0,295.0,226.0,174.0,367.0,40.95,46.05,13.01,trump,5.1,881.6651769326381,57.06,42.94,66.17,33.83,56.61,43.39,63.82,36.18,61.52,38.48,44.65,55.35,55.72,44.28,70.66,29.34,43.31,56.69,54.05,45.95,40.98,59.02,33.33,66.67,39.34,60.66,50.92,49.08,38.64,61.36,56.62,43.38,32.16,67.84
115-1005,126.0,156.0,9.0,2.0,2.0,6.0,116.0,124.0,161.0,128.0,185.0,103.0,154.0,130.0,166.0,115.0,172.0,113.0,137.0,153.0,153.0,132.0,192.0,93.0,113.0,164.0,157.0,126.0,106.0,174.0,93.0,193.0,113.0,170.0,140.0,146.0,97.0,184.0,145.0,130.0,74.0,209.0,41.86,51.83,6.31,trump,9.97,619.5019711607124,55.71,44.29,64.24,35.76,54.23,45.77,59.07,40.93,60.35,39.65,47.24,52.76,53.68,46.32,67.37,32.63,40.79,59.21,55.48,44.52,37.86,62.14,32.52,67.48,39.93,60.07,48.95,51.05,34.52,65.48,52.73,47.27,26.15,73.85
115-1006,186.0,195.0,19.0,9.0,8.0,11.0,204.0,156.0,205.0,213.0,269.0,151.0,206.0,208.0,257.0,156.0,248.0,171.0,213.0,211.0,211.0,200.0,277.0,142.0,158.0,247.0,206.0,208.0,143.0,271.0,119.0,296.0,176.0,241.0,192.0,227.0,148.0,261.0,214.0,195.0,122.0,292.0,43.46,45.56,10.98,trump,2.1,1699.007680085577,49.04,50.96,64.05,35.95,49.76,50.24,62.23,37.77,59.19,40.81,50.24,49.76,51.34,48.66,66.11,33.89,39.01,60.99,49.76,50.24,34.54,65.46,28.67,71.33,42.21,57.79,45.82,54.18,36.19,63.81,52.32,47.68,29.47,70.53
115-1007,393.0,483.0,49.0,19.0,5.0,24.0,406.0,328.0,454.0,471.0,545.0,361.0,528.0,365.0,581.0,314.0,522.0,395.0,472.0,467.0,455.0,464.0,593.0,324.0,394.0,482.0,389.0,503.0,359.0,543.0,261.0,643.0,367.0,552.0,467.0,467.0,357.0,549.0,502.0,358.0,289.0,619.0,40.39,49.64,9.97,trump,9.25,193.77182030175268,49.08,50.92,60.15,39.85,59.13,40.87,64.92,35.08,56.92,43.08,50.27,49.73,49.51,50.49,64.67,35.33,44.98,55.02,43.61,56.39,39.8,60.2,28.87,71.13,39.93,60.07,50.0,50.0,39.4,60.6,58.37,41.63,31.83,68.17
115-2001,179.0,292.0,20.0,13.0,2.0,8.0,215.0,187.0,238.0,258.0,286.0,209.0,288.0,199.0,330.0,159.0,272.0,222.0,192.0,311.0,260.0,235.0,321.0,170.0,207.0,272.0,229.0,262.0,143.0,354.0,129.0,367.0,181.0,317.0,217.0,285.0,156.0,341.0,294.0,192.0,151.0,345.0,34.82,56.81,8.37,trump,21.98,947.4049238262214,47.98,52.02,57.78,42.22,59.14,40.86,67.48,32.52,55.06,44.94,38.17,61.83,52.53,47.47,65.38,34.62,43.22,56.78,46.64,53.36,28.77,71.23,26.01,73.99,36.35,63.65,43.23,56.77,31.39,68.61,60.49,39.51,30.44,69.56
115-2002,191.0,352.0,26.0,13.0,8.0,9.0,260.0,190.0,284.0,297.0,344.0,226.0,309.0,241.0,345.0,213.0,322.0,247.0,255.0,330.0,310.0,266.0,384.0,186.0,226.0,319.0,243.0,318.0,211.0,363.0,163.0,406.0,212.0,363.0,251.0,326.0,208.0,362.0,318.0,227.0,189.0,371.0,31.89,58.76,9.35,trump,26.88,2289.456464877348,48.88,51.12,60.35,39.65,56.18,43.82,61.83,38.17,56.59,43.41,43.59,56.41,53.82,46.18,67.37,32.63,41.47,58.53,43.32,56.68,36.76,63.24,28.65,71.35,36.87,63.13,43.5,56.5,36.49,63.51,58.35,41.65,33.75,66.25
115-2003,220.0,349.0,37.0,11.0,9.0,18.0,285.0,236.0,325.0,283.0,413.0,205.0,341.0,259.0,411.0,195.0,360.0,244.0,254.0,365.0,379.0,239.0,443.0,165.0,247.0,346.0,274.0,329.0,210.0,414.0,188.0,424.0,240.0,371.0,335.0,297.0,224.0,388.0,326.0,264.0,213.0,402.0,34.16,54.19,11.65,trump,20.03,2328.085724241833,53.45,46.55,66.83,33.17,56.83,43.17,67.82,32.18,59.6,40.4,41.03,58.97,61.33,38.67,72.86,27.14,41.65,58.35,45.44,54.56,33.65,66.35,30.72,69.28,39.28,60.72,53.01,46.99,36.6,63.4,55.25,44.75,34.63,65.37
115-2004,228.0,355.0,27.0,6.0,4.0,9.0,297.0,203.0,321.0,295.0,391.0,226.0,348.0,259.0,402.0,202.0,345.0,269.0,276.0,343.0,348.0,265.0,420.0,193.0,252.0,342.0,286.0,316.0,220.0,397.0,189.0,423.0,247.0,371.0,313.0,307.0,206.0,395.0,364.0,231.0,239.0,368.0,36.25,56.44,7.31,trump,20.19,983.9734709829326,52.11,47.89,63.37,36.63,57.33,42.67,66.56,33.44,56.19,43.81,44.59,55.41,56.77,43.23,68.52,31.48,42.42,57.58,47.51,52.49,35.66,64.34,30.88,69.12,39.97,60.03,50.48,49.52,34.28,65.72,61.18,38.82,39.37,60.63
115-2005,247.0,267.0,19.0,13.0,7.0,6.0,256.0,180.0,284.0,249.0,372.0,163.0,305.0,217.0,351.0,168.0,327.0,199.0,240.0,304.0,343.0,198.0,388.0,143.0,236.0,273.0,244.0,290.0,196.0,329.0,189.0,343.0,248.0,290.0,308.0,241.0,196.0,340.0,281.0,229.0,222.0,316.0,44.19,47.76,8.05,trump,3.58,531.2050150251428,53.28,46.72,69.53,30.47,58.43,41.57,67.63,32.37,62.17,37.83,44.12,55.88,63.4,36.6,73.07,26.93,46.37,53.63,45.69,54.31,37.33,62.67,35.53,64.47,46.1,53.9,56.1,43.9,36.57,63.43,55.1,44.9,41.26,58.74
115-2006,227.0,245.0,14.0,11.0,7.0,11.0,221.0,193.0,265.0,235.0,308.0,185.0,276.0,215.0,326.0,166.0,323.0,177.0,218.0,291.0,291.0,204.0,350.0,152.0,212.0,266.0,276.0,210.0,206.0,291.0,177.0,314.0,186.0,313.0,260.0,239.0,185.0,303.0,264.0,204.0,153.0,345.0,44.08,47.57,8.35,trump,3.5,89.9697256663923,53.0,47.0,62.47,37.53,56.21,43.79,66.26,33.74,64.6,35.4,42.83,57.17,58.79,41.21,69.72,30.28,44.35,55.65,56.79,43.21,41.45,58.55,36.05,63.95,37.27,62.73,52.1,47.9,37.91,62.09,56.41,43.59,30.72,69.28
115-2007,203.0,255.0,24.0,9.0,8.0,8.0,231.0,193.0,251.0,235.0,345.0,144.0,249.0,219.0,319.0,158.0,317.0,167.0,194.0,304.0,296.0,193.0,346.0,144.0,193.0,281.0,242.0,235.0,196.0,291.0,157.0,330.0,214.0,266.0,242.0,248.0,175.0,309.0,261.0,218.0,161.0,326.0,40.04,50.3,9.66,trump,10.26,526.73013134115,51.65,48.35,70.55,29.45,53.21,46.79,66.88,33.12,65.5,34.5,38.96,61.04,60.53,39.47,70.61,29.39,40.72,59.28,50.73,49.27,40.25,59.75,32.24,67.76,44.58,55.42,49.39,50.61,36.16,63.84,54.49,45.51,33.06,66.94
115-3001,207.0,232.0,16.0,7.0,4.0,5.0,200.0,190.0,215.0,248.0,303.0,156.0,228.0,223.0,283.0,161.0,272.0,185.0,193.0,276.0,247.0,202.0,326.0,128.0,193.0,257.0,226.0,212.0,167.0,286.0,130.0,312.0,189.0,262.0,223.0,238.0,174.0,276.0,262.0,178.0,154.0,298.0,43.95,49.26,6.79,trump,5.31,1005.8918183647705,46.44,53.56,66.01,33.99,50.55,49.45,63.74,36.26,59.52,40.48,41.15,58.85,55.01,44.99,71.81,28.19,42.89,57.11,51.6,48.4,36.87,63.13,29.41,70.59,41.91,58.09,48.37,51.63,38.67,61.33,59.55,40.45,34.07,65.93
115-3002,175.0,244.0,14.0,14.0,4.0,8.0,202.0,162.0,229.0,215.0,268.0,172.0,246.0,188.0,274.0,157.0,254.0,188.0,192.0,259.0,249.0,194.0,308.0,139.0,163.0,264.0,203.0,231.0,173.0,264.0,138.0,300.0,158.0,282.0,243.0,205.0,142.0,300.0,245.0,182.0,134.0,307.0,38.13,53.16,8.71,trump,15.03,86.28836751470477,51.58,48.42,60.91,39.09,56.68,43.32,63.57,36.43,57.47,42.53,42.57,57.43,56.21,43.79,68.9,31.1,38.17,61.83,46.77,53.23,39.59,60.41,31.51,68.49,35.91,64.09,54.24,45.76,32.13,67.87,57.38,42.62,30.39,69.61
115-3003,215.0,319.0,24.0,7.0,3.0,9.0,254.0,215.0,288.0,297.0,362.0,218.0,324.0,252.0,363.0,205.0,321.0,255.0,256.0,337.0,308.0,268.0,353.0,228.0,221.0,341.0,275.0,293.0,187.0,389.0,170.0,403.0,233.0,344.0,289.0,296.0,208.0,365.0,310.0,250.0,155.0,420.0,37.26,55.29,7.45,trump,18.02,1526.6633631415943,49.23,50.77,62.41,37.59,56.25,43.75,63.91,36.09,55.73,44.27,43.17,56.83,53.47,46.53,60.76,39.24,39.32,60.68,48.42,51.58,32.47,67.53,29.67,70.33,40.38,59.62,49.4,50.6,36.3,63.7,55.36,44.64,26.96,73.04
115-3004,237.0,308.0,24.0,8.0,7.0,14.0,255.0,231.0,309.0,286.0,355.0,238.0,313.0,272.0,358.0,232.0,338.0,248.0,292.0,309.0,312.0,277.0,402.0,194.0,248.0,332.0,280.0,300.0,216.0,371.0,151.0,431.0,222.0,365.0,252.0,340.0,207.0,378.0,299.0,276.0,202.0,390.0,39.63,51.51,8.86,trump,11.87,326.1871816029376,51.93,48.07,59.87,40.13,53.5,46.5,60.68,39.32,57.68,42.32,48.59,51.41,52.97,47.03,67.45,32.55,42.76,57.24,48.28,51.72,36.8,63.2,25.95,74.05,37.82,62.18,42.57,57.43,35.38,64.62,52.0,48.0,34.12,65.88
115-3005,283.0,355.0,43.0,16.0,6.0,9.0,318.0,257.0,327.0,376.0,427.0,268.0,382.0,309.0,427.0,261.0,372.0,326.0,310.0,401.0,373.0,315.0,476.0,218.0,285.0,391.0,307.0,366.0,228.0,469.0,215.0,474.0,277.0,424.0,351.0,359.0,247.0,443.0,374.0,293.0,210.0,486.0,39.75,49.86,10.39,trump,10.11,894.6502238169668,46.51,53.49,61.44,38.56,55.28,44.72,62.06,37.94,53.3,46.7,43.6,56.4,54.22,45.78,68.59,31.41,42.16,57.84,45.62,54.38,32.71,67.29,31.2,68.8,39.51,60.49,49.44,50.56,35.8,64.2,56.07,43.93,30.17,69.83
115-3006,82.0,187.0,9.0,3.0,2.0,6.0,139.0,76.0,112.0,173.0,155.0,128.0,157.0,127.0,188.0,97.0,146.0,141.0,109.0,179.0,126.0,165.0,174.0,114.0,110.0,172.0,98.0,177.0,97.0,184.0,69.0,213.0,77.0,210.0,151.0,134.0,79.0,202.0,160.0,113.0,70.0,214.0,28.37,64.71,6.92,trump,36.33,33.9148727230726,39.3,60.7,54.77,45.23,55.28,44.72,65.96,34.04,50.87,49.13,37.85,62.15,43.3,56.7,60.42,39.58,39.01,60.99,35.64,64.36,34.52,65.48,24.47,75.53,26.83,73.17,52.98,47.02,28.11,71.89,58.61,41.39,24.65,75.35
115-3007,10.0,50.0,5.0,0.0,0.0,0.0,19.0,25.0,26.0,39.0,34.0,29.0,31.0,33.0,38.0,18.0,20.0,40.0,17.0,44.0,26.0,36.0,43.0,22.0,14.0,41.0,29.0,29.0,25.0,38.0,11.0,53.0,14.0,52.0,23.0,42.0,20.0,40.0,30.0,27.0,21.0,41.0,15.38,76.92,7.69,trump,61.54,7.264773612970358,40.0,60.0,53.97,46.03,48.44,51.56,67.86,32.14,33.33,66.67,27.87,72.13,41.94,58.06,66.15,33.85,25.45,74.55,50.0,50.0,39.68,60.32,17.19,82.81,21.21,78.79,35.38,64.62,33.33,66.67,52.63,47.37,33.87,66.13
115-3008,157.0,227.0,23.0,6.0,3.0,4.0,188.0,146.0,212.0,204.0,227.0,186.0,238.0,174.0,265.0,147.0,236.0,179.0,215.0,203.0,205.0,206.0,280.0,135.0,175.0,231.0,201.0,198.0,154.0,257.0,120.0,284.0,148.0,260.0,217.0,191.0,158.0,244.0,226.0,174.0,137.0,268.0,37.38,54.05,8.57,trump,16.67,111.91204025454418,50.96,49.04,54.96,45.04,57.77,42.23,64.32,35.68,56.87,43.13,51.44,48.56,49.88,50.12,67.47,32.53,43.1,56.9,50.38,49.62,37.47,62.53,29.7,70.3,36.27,63.73,53.19,46.81,39.3,60.7,56.5,43.5,33.83,66.17
