pct16,pres_clinton,pres_trump,pres_johnson,pres_stein,pres_lariva,pres_other,ussenate_harris,ussenate_sanchez,prop51_yes,prop51_no,prop52_yes,prop52_no,prop53_yes,prop53_no,prop54_yes,prop54_no,prop55_yes,prop55_no,prop56_yes,prop56_no,prop57_yes,prop57_no,prop58_yes,prop58_no,prop59_yes,prop59_no,prop60_yes,prop60_no,prop61_yes,prop61_no,prop62_yes,prop62_no,prop63_yes,prop63_no,prop64_yes,prop64_no,prop65_yes,prop65_no,prop66_yes,prop66_no,prop67_yes,prop67_no,pres_clinton_per,pres_trump_per,pres_third_per,pres_winner,pres_margin,votedensity,prop51_yes_per,prop51_no_per,prop52_yes_per,prop52_no_per,prop53_yes_per,prop53_no_per,prop54_yes_per,prop54_no_per,prop55_yes_per,prop55_no_per,prop56_yes_per,prop56_no_per,prop57_yes_per,prop57_no_per,prop58_yes_per,prop58_no_per,prop59_yes_per,prop59_no_per,prop60_yes_per,prop60_no_per,prop61_yes_per,prop61_no_per,prop62_yes_per,prop62_no_per,prop63_yes_per,prop63_no_per,prop64_yes_per,prop64_no_per,prop65_yes_per,prop65_no_per,prop66_yes_per,prop66_no_per,prop67_yes_per,prop67_no_per
007-1101,185.0,236.0,12.0,8.0,3.0,0.0,215.0,160.0,261.0,189.0,314.0,134.0,257.0,183.0,281.0,164.0,272.0,175.0,198.0,253.0,282.0,167.0,312.0,134.0,198.0,243.0,207.0,240.0,167.0,270.0,146.0,298.0,197.0,252.0,238.0,217.0,198.0,247.0,246.0,190.0,150.0,298.0,41.67,53.15,5.18,trump,11.49,307.6489540188525,58.0,42.0,70.09,29.91,58.41,41.59,63.15,36.85,60.85,39.15,43.9,56.1,62.81,37.19,69.96,30.04,44.9,55.1,46.31,53.69,38.22,61.78,32.88,67.12,43.88,56.12,52.31,47.69,44.49,55.51,56.42,43.58,33.48,66.52
007-1102,302.0,324.0,28.0,10.0,6.0,0.0,323.0,262.0,386.0,282.0,470.0,199.0,369.0,292.0,438.0,229.0,428.0,242.0,277.0,403.0,412.0,265.0,480.0,187.0,321.0,338.0,328.0,336.0,229.0,439.0,236.0,436.0,306.0,371.0,395.0,292.0,286.0,387.0,348.0,308.0,267.0,405.0,45.07,48.36,6.57,trump,3.28,205.91257704821373,57.78,42.22,70.25,29.75,55.82,44.18,65.67,34.33,63.88,36.12,40.74,59.26,60.86,39.14,71.96,28.04,48.71,51.29,49.4,50.6,34.28,65.72,35.12,64.88,45.2,54.8,57.5,42.5,42.5,57.5,53.05,46.95,39.73,60.27
007-1103,296.0,403.0,29.0,14.0,7.0,0.0,352.0,247.0,373.0,355.0,486.0,238.0,386.0,325.0,474.0,248.0,439.0,288.0,323.0,431.0,403.0,325.0,502.0,224.0,316.0,397.0,368.0,355.0,264.0,462.0,277.0,465.0,299.0,439.0,403.0,348.0,274.0,451.0,401.0,326.0,276.0,462.0,39.52,53.81,6.68,trump,14.29,762.9755772535957,51.24,48.76,67.13,32.87,54.29,45.71,65.65,34.35,60.39,39.61,42.84,57.16,55.36,44.64,69.15,30.85,44.32,55.68,50.9,49.1,36.36,63.64,37.33,62.67,40.51,59.49,53.66,46.34,37.79,62.21,55.16,44.84,37.4,62.6
007-1104,273.0,540.0,52.0,11.0,4.0,0.0,363.0,297.0,378.0,494.0,566.0,296.0,444.0,410.0,576.0,288.0,442.0,426.0,366.0,523.0,429.0,446.0,553.0,321.0,362.0,469.0,341.0,507.0,237.0,620.0,259.0,613.0,282.0,591.0,398.0,492.0,294.0,566.0,513.0,330.0,317.0,557.0,31.02,61.36,7.61,trump,30.34,589.2365519658105,43.35,56.65,65.66,34.34,51.99,48.01,66.67,33.33,50.92,49.08,41.17,58.83,49.03,50.97,63.27,36.73,43.56,56.44,40.21,59.79,27.65,72.35,29.7,70.3,32.3,67.7,44.72,55.28,34.19,65.81,60.85,39.15,36.27,63.73
007-1105,170.0,349.0,24.0,7.0,5.0,0.0,239.0,169.0,252.0,305.0,346.0,210.0,303.0,240.0,352.0,191.0,264.0,280.0,225.0,338.0,262.0,287.0,342.0,207.0,218.0,303.0,247.0,297.0,172.0,370.0,121.0,426.0,168.0,383.0,247.0,308.0,193.0,340.0,343.0,189.0,169.0,380.0,30.63,62.88,6.49,trump,32.25,381.77659177238814,45.24,54.76,62.23,37.77,55.8,44.2,64.83,35.17,48.53,51.47,39.96,60.04,47.72,52.28,62.3,37.7,41.84,58.16,45.4,54.6,31.73,68.27,22.12,77.88,30.49,69.51,44.5,55.5,36.21,63.79,64.47,35.53,30.78,69.22
007-1106,226.0,200.0,19.0,12.0,11.0,0.0,229.0,192.0,251.0,209.0,340.0,128.0,261.0,200.0,290.0,168.0,323.0,137.0,201.0,275.0,321.0,151.0,347.0,115.0,210.0,241.0,245.0,213.0,165.0,299.0,189.0,273.0,231.0,242.0,289.0,185.0,181.0,275.0,243.0,214.0,176.0,289.0,48.29,42.74,8.97,clinton,5.56,832.9352441328111,54.57,45.43,72.65,27.35,56.62,43.38,63.32,36.68,70.22,29.78,42.23,57.77,68.01,31.99,75.11,24.89,46.56,53.44,53.49,46.51,35.56,64.44,40.91,59.09,48.84,51.16,60.97,39.03,39.69,60.31,53.17,46.83,37.85,62.15
007-1801,257.0,548.0,31.0,13.0,6.0,0.0,362.0,300.0,317.0,540.0,559.0,304.0,525.0,322.0,571.0,279.0,431.0,429.0,382.0,498.0,381.0,486.0,532.0,331.0,337.0,505.0,325.0,507.0,239.0,617.0,232.0,638.0,246.0,623.0,338.0,539.0,275.0,584.0,502.0,328.0,292.0,574.0,30.06,64.09,5.85,trump,34.04,235.3511869921817,36.99,63.01,64.77,35.23,61.98,38.02,67.18,32.82,50.12,49.88,43.41,56.59,43.94,56.06,61.65,38.35,40.02,59.98,39.06,60.94,27.92,72.08,26.67,73.33,28.31,71.69,38.54,61.46,32.01,67.99,60.48,39.52,33.72,66.28
007-1802,180.0,426.0,22.0,5.0,4.0,0.0,268.0,198.0,240.0,402.0,398.0,247.0,369.0,269.0,430.0,204.0,315.0,328.0,280.0,373.0,294.0,348.0,396.0,243.0,243.0,373.0,251.0,364.0,167.0,475.0,175.0,473.0,174.0,471.0,259.0,397.0,183.0,448.0,355.0,272.0,199.0,447.0,28.26,66.88,4.87,trump,38.62,407.8177002818627,37.38,62.62,61.71,38.29,57.84,42.16,67.82,32.18,48.99,51.01,42.88,57.12,45.79,54.21,61.97,38.03,39.45,60.55,40.81,59.19,26.01,73.99,27.01,72.99,26.98,73.02,39.48,60.52,29.0,71.0,56.62,43.38,30.8,69.2
007-1803,159.0,266.0,22.0,8.0,4.0,0.0,183.0,182.0,232.0,234.0,307.0,158.0,263.0,194.0,285.0,180.0,279.0,187.0,183.0,290.0,224.0,243.0,302.0,161.0,184.0,268.0,184.0,271.0,116.0,349.0,98.0,363.0,150.0,314.0,202.0,269.0,151.0,311.0,270.0,183.0,137.0,325.0,34.64,57.95,7.41,trump,23.31,341.3951277266259,49.79,50.21,66.02,33.98,57.55,42.45,61.29,38.71,59.87,40.13,38.69,61.31,47.97,52.03,65.23,34.77,40.71,59.29,40.44,59.56,24.95,75.05,21.26,78.74,32.33,67.67,42.89,57.11,32.68,67.32,59.6,40.4,29.65,70.35
007-1804,192.0,369.0,27.0,8.0,8.0,0.0,244.0,217.0,268.0,326.0,384.0,216.0,348.0,246.0,395.0,199.0,323.0,282.0,257.0,358.0,263.0,342.0,400.0,202.0,214.0,364.0,250.0,344.0,169.0,426.0,153.0,450.0,183.0,423.0,259.0,355.0,207.0,391.0,347.0,237.0,201.0,406.0,31.79,61.09,7.12,trump,29.3,211.49783248034086,45.12,54.88,64.0,36.0,58.59,41.41,66.5,33.5,53.39,46.61,41.79,58.21,43.47,56.53,66.45,33.55,37.02,62.98,42.09,57.91,28.4,71.6,25.37,74.63,30.2,69.8,42.18,57.82,34.62,65.38,59.42,40.58,33.11,66.89
